prop_id_proposicao,tram_id_evento,tram_ts_tramitacao,tram_dt_tramitacao,tram_tx_sigla_orgao,tram_tx_descricao_tramitacao,tram_tx_descricao_situacao,tram_tx_despacho,alert_tx_tipo,alert_tx_mensagem,alert_fl_notificar
2484905,2,2025-02-20T11:22:00.000Z,2025-02-20,MESA,Análise Parecer,,"Parecer do Relator, Dep. Altineu Côrtes (PL-RJ), pela aprovação.",OUTRA_MOVIMENTACAO,Movimentação registrada.,0
2485471,1,2025-02-26T09:48:00.000Z,2025-02-26,PLEN,Apresentação De Proposição,Aguardando Providências Internas,"Apresentação do RPD n. 21 PLEN (Votação Nominal do Requerimento de Retirada de Matéria da Ordem do Dia), pelo Deputado Sóstenes Cavalcante (PL/RJ).",OUTRA_MOVIMENTACAO,Movimentação registrada.,0
2482707,9,2025-02-11T00:00:00.000Z,2025-02-11,PLEN,Publicação De Despacho,Tramitação Finalizada,Publicação inicial no DCD do dia 12/02/2025,OUTRA_MOVIMENTACAO,Movimentação registrada.,0
2485204,6,2025-02-27T17:04:00.000Z,2025-02-27,MESA,Distribuição,Arquivada,"Publique-se e, após, arquive-se.",ARQUIVAMENTO,Proposição foi arquivada.,1
2482130,6,2025-02-11T12:53:00.000Z,2025-02-11,MESA,Distribuição,Aguardando Remessa Ao Arquivo,"Publique-se. Encaminhe-se e, após, arquive-se.",ARQUIVAMENTO,Proposição foi arquivada.,1
2485204,8,2025-02-27T00:00:00.000Z,2025-02-27,PLEN,Publicação De Despacho,Arquivada,Publicação inicial no DCD do dia 28/02/2025,ARQUIVAMENTO,Proposição foi arquivada.,1
2485530,17,2025-04-08T11:00:00.000Z,2025-04-08,MESA,Ratificação De Parecer,Aguardando Remessa Ao Arquivo,"Ratificado o despacho \"ad referendum\"",ARQUIVAMENTO,Proposição foi arquivada.,1
2482130,12,2025-02-11T00:00:00.000Z,2025-02-11,CCP,Publicação De Proposição,Aguardando Encaminhamento,Encaminhada à publicação. Publicação Inicial no DCD de 12/02/2025.,OUTRA_MOVIMENTACAO,Movimentação registrada.,0
2484957,2,2025-02-20T11:28:00.000Z,2025-02-20,MESA,Análise Parecer,,"Parecer do Relator, Dep. Altineu Côrtes (PL-RJ), pela aprovação.",OUTRA_MOVIMENTACAO,Movimentação registrada.,0
2485530,19,2025-04-10T00:00:00.000Z,2025-04-10,1SECM,Providência Interna - Comunicação De Resposta Ostensiva,Aguardando Remessa Ao Arquivo,Encaminhamento de resposta por meio do sistema Infoleg,ARQUIVAMENTO,Proposição foi arquivada.,1
