prop_id_proposicao,tram_id_evento,tram_ts_tramitacao,tram_dt_tramitacao,tram_tx_sigla_orgao,tram_tx_regime,tram_tx_descricao_tramitacao,tram_tx_descricao_situacao,tram_tx_despacho,cdc_payload_hash,valid_from,valid_to,is_current,scd_ts_processamento
2484905,2,2025-02-20T11:22:00.000Z,2025-02-20,MESA,.,Análise Parecer,,"Parecer do Relator, Dep. Altineu Côrtes (PL-RJ), pela aprovação.",05eac4f8b0adfb68f500062eceec7a8d425600c813212f4883bd2b8bfd9039e3,2025-02-20T11:22:00.000Z,,true,2026-05-13T14:11:48.486Z
2485471,1,2025-02-26T09:48:00.000Z,2025-02-26,PLEN,.,Apresentação De Proposição,Aguardando Providências Internas,"Apresentação do RPD n. 21 PLEN (Votação Nominal do Requerimento de Retirada de Matéria da Ordem do Dia), pelo Deputado Sóstenes Cavalcante (PL/RJ).",7a8a064e8303c90cb166c556c52c04bd91b76bfc0d0ffc44f0869167cd0d3348,2025-02-26T09:48:00.000Z,,true,2026-05-13T14:11:48.486Z
2482707,9,2025-02-11T00:00:00.000Z,2025-02-11,PLEN,.,Publicação De Despacho,Tramitação Finalizada,Publicação inicial no DCD do dia 12/02/2025,03f5351542bb1709fb12b2a15c5457939c442f5dd5afd56b5b526cf8d1587cf3,2025-02-11T00:00:00.000Z,,true,2026-05-13T14:11:48.486Z
2485204,6,2025-02-27T17:04:00.000Z,2025-02-27,MESA,.,Distribuição,Arquivada,"Publique-se e, após, arquive-se.",3265b430ef17db3718ec5d82523dcb70f96c6c42f8b64850f13185546131fb2a,2025-02-27T17:04:00.000Z,,true,2026-05-13T14:11:48.486Z
2482130,6,2025-02-11T12:53:00.000Z,2025-02-11,MESA,.,Distribuição,Aguardando Remessa Ao Arquivo,"Publique-se. Encaminhe-se e, após, arquive-se.",d62aac61b73ca29c177663fd61220458b3e5c65365e208868f40dbafc64bc471,2025-02-11T12:53:00.000Z,,true,2026-05-13T14:11:48.486Z
2485204,8,2025-02-27T00:00:00.000Z,2025-02-27,PLEN,.,Publicação De Despacho,Arquivada,Publicação inicial no DCD do dia 28/02/2025,8097121fcbf854e75e900ec556773a1ff6292e5540f2acb37e98a19257a5e59e,2025-02-27T00:00:00.000Z,,true,2026-05-13T14:11:48.486Z
2485530,17,2025-04-08T11:00:00.000Z,2025-04-08,MESA,.,Ratificação De Parecer,Aguardando Remessa Ao Arquivo,"Ratificado o despacho \"ad referendum\"",0bde68fe2fe917a71976d66015eb772abce3d3c4ade7025b6f95cc1a4069aa8b,2025-04-08T11:00:00.000Z,,true,2026-05-13T14:11:48.486Z
2482130,12,2025-02-11T00:00:00.000Z,2025-02-11,CCP,.,Publicação De Proposição,Aguardando Encaminhamento,Encaminhada à publicação. Publicação Inicial no DCD de 12/02/2025.,177998ecca83430ee32e4b5323749a050377b852382c9714e4ee5025a2214728,2025-02-11T00:00:00.000Z,,true,2026-05-13T14:11:48.486Z
2484957,2,2025-02-20T11:28:00.000Z,2025-02-20,MESA,.,Análise Parecer,,"Parecer do Relator, Dep. Altineu Côrtes (PL-RJ), pela aprovação.",4ed94f2fa04852b06993f104b80efa9614e6f0266d8ac284ec757a3f68553233,2025-02-20T11:28:00.000Z,,true,2026-05-13T14:11:48.486Z
2485530,19,2025-04-10T00:00:00.000Z,2025-04-10,1SECM,.,Providência Interna - Comunicação De Resposta Ostensiva,Aguardando Remessa Ao Arquivo,Encaminhamento de resposta por meio do sistema Infoleg,9e5a424d8e70b3d1c78e364f1ca43e2eebe0f4ef4a984a36cecb622c71642d9b,2025-04-10T00:00:00.000Z,,true,2026-05-13T14:11:48.486Z
