prop_id_proposicao,prop_qt_tramitacoes,prop_ts_primeira_tramitacao,prop_ts_ultima_tramitacao,prop_qt_dias_tramitacao,prop_qt_media_dias_por_evento,prop_sg_orgao_atual,prop_tx_regime_atual,prop_tx_situacao_atual,prop_tx_tramitacao_atual,prop_tx_despacho_atual,prop_ts_ultima_movimentacao,prop_tx_status_analitico
2485530,13,2025-02-26T13:35:00.000Z,2025-04-10T00:00:00.000Z,43,3.58,1SECM,.,Aguardando Remessa Ao Arquivo,Providência Interna - Comunicação De Resposta Ostensiva,Encaminhamento de resposta por meio do sistema Infoleg,2025-04-10T00:00:00.000Z,ARQUIVADA
2484291,2,2025-02-18T15:09:00.000Z,2025-02-18T15:16:00.000Z,0,0.0,MESA,.,Aguardando Despacho Do Presidente Da Câmara Dos Deputados,Relatório De Conferência De Assinaturas,Relatório de Conferência de Assinaturas Eletrônicas.,2025-02-18T15:16:00.000Z,EM_TRAMITACAO
2484905,2,2025-02-20T11:22:00.000Z,2025-02-20T11:22:00.000Z,0,0.0,MESA,.,,Análise Parecer,"Parecer do Relator, Dep. Altineu Côrtes (PL-RJ), pela aprovação.",2025-02-20T11:22:00.000Z,EM_TRAMITACAO
2483380,2,2025-02-10T00:00:00.000Z,2025-02-10T10:06:00.000Z,0,0.0,MESA,.,Aguardando Despacho Do Presidente Da Câmara Dos Deputados,Apresentação De Proposição,"Apresentação do REQ n. 279/2025 (Requerimento de Sessão Solene), pelo Deputado Sargento Portugal (PODE/RJ) e outros, que \"Requer a realização de sessão solene em homenagem aos 460 anos da cidade do Rio de Janeiro\".",2025-02-10T10:06:00.000Z,EM_TRAMITACAO
2485471,1,2025-02-26T09:48:00.000Z,2025-02-26T09:48:00.000Z,0,0.0,PLEN,.,Aguardando Providências Internas,Apresentação De Proposição,"Apresentação do RPD n. 21 PLEN (Votação Nominal do Requerimento de Retirada de Matéria da Ordem do Dia), pelo Deputado Sóstenes Cavalcante (PL/RJ).",2025-02-26T09:48:00.000Z,EM_TRAMITACAO
2482707,3,2025-02-04T14:02:00.000Z,2025-02-11T18:43:00.000Z,7,3.5,MESA,.,Tramitação Finalizada,Distribuição,"Publique-se e, após, arquive-se.",2025-02-11T18:43:00.000Z,EM_TRAMITACAO
2483469,1,2025-02-06T19:42:00.000Z,2025-02-06T19:42:00.000Z,0,0.0,MESA,.,,Apresentação De Proposição,"Apresentação do DOC n. 13/2025 (Ofício do Senado Federal), pelo Senado Federal, que \"Comunica restituição de Projeto de Lei sancionado\".",2025-02-06T19:42:00.000Z,EM_TRAMITACAO
2485204,3,2025-02-24T15:36:00.000Z,2025-02-27T17:04:00.000Z,3,1.5,MESA,.,Arquivada,Distribuição,"Publique-se e, após, arquive-se.",2025-02-27T17:04:00.000Z,ARQUIVADA
2484957,2,2025-02-20T11:28:00.000Z,2025-02-20T11:28:00.000Z,0,0.0,MESA,.,,Análise Parecer,"Parecer do Relator, Dep. Altineu Côrtes (PL-RJ), pela aprovação.",2025-02-20T11:28:00.000Z,EM_TRAMITACAO
2482130,7,2025-02-03T08:10:00.000Z,2025-06-09T00:00:00.000Z,126,21.0,1SECM,.,Aguardando Remessa Ao Arquivo,Providência Interna - Comunicação De Resposta Ostensiva,Encaminhamento de resposta por meio do sistema Infoleg,2025-06-09T00:00:00.000Z,ARQUIVADA
