sk_resp_ceap,id_deputado,dept_tx_nome_parlamentar,part_sg_partido,uf_sg_uf,desp_tx_segmento_despesa,desp_tx_tipo_despesa,forn_fl_cnpj_suspeito,forn_tx_motivo_cnpj_suspeito,forn_tx_status_consulta_cnpj,forn_tx_situacao_cadastral,qt_fornecedores,qt_documentos,desp_vl_total_liquido,vl_media_categoria_uf,vl_desvio_categoria_uf,desp_nr_zscore,desp_tx_classificacao_anomalia
503,160510,Luis Tibé,AVANTE,MG,Combustível,Combustíveis E Lubrificantes.,0,Sem indício cadastral crítico,FOUND,ATIVA,192,452,75664.30,65306.104375,92314.0005265802,0.1122,Comportamento esperado
180,62881,Danilo Forte,PP,CE,Alimentação,Fornecimento De Alimentação Do Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,89,211,18888.06,4778.337742,9185.089924635726,1.5362,Comportamento esperado
689,161440,Pezenti,MDB,SC,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,0,Documento não consultado por não ser CNPJ,NOT_APPLICABLE,,1,38,115600.00,70964.571200,106769.4367602354,0.4181,Comportamento esperado
404,74273,Jefferson Campos,PL,SP,Publicidade,Divulgação Da Atividade Parlamentar.,0,Sem indício cadastral crítico,FOUND,ATIVA,7,36,82877.80,243741.226243,313657.1515008437,-0.5129,Comportamento esperado
347,160673,Giovani Cherini,PL,RS,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",0,Sem indício cadastral crítico,FOUND,ATIVA,58,190,63360.80,21826.986437,35658.661568585754,1.1648,Comportamento esperado
342,74270,Gilberto Nascimento,PODE,SP,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,5,49,187210.21,98538.487659,143509.98800071477,0.6179,Comportamento esperado
448,204372,Julio Cesar Ribeiro,REPUBLICANOS,DF,Combustível,Combustíveis E Lubrificantes.,0,Sem indício cadastral crítico,FOUND,ATIVA,72,218,53152.74,33372.670769,51515.7382887601,0.384,Comportamento esperado
406,204435,Jesus Sérgio,PDT,AC,Publicidade,Divulgação Da Atividade Parlamentar.,1,Situação cadastral não ativa: INAPTA,FOUND,INAPTA,1,5,7500.00,295132.464706,394989.3569390969,-0.7282,Fornecedor com CNPJ suspeito
878,160632,Zé Silva,UNIÃO,MG,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",0,Sem indício cadastral crítico,FOUND,ATIVA,49,116,34429.73,17018.453084,26330.369533202334,0.6613,Comportamento esperado
783,204387,Sargento Fahur,PL,PR,Alimentação,Fornecimento De Alimentação Do Parlamentar,1,Situação cadastral não ativa: BAIXADA,FOUND,BAIXADA,3,6,220.36,4173.948542,8441.04850518495,-0.4684,Fornecedor com CNPJ suspeito
149,220666,Coronel Meira,PL,PE,Viagens,Passagem Aérea - Sigepa,,,,,0,246,290839.07,221741.150682,163177.94412569836,0.4235,Comportamento esperado
93,160538,Bohn Gass,PT,RS,Comunicação,Telefonia,0,Sem indício cadastral crítico,FOUND,ATIVA,6,271,46680.33,19321.830435,18898.364290143905,1.4477,Comportamento esperado
346,220531,Gilvan Maximo,REPUBLICANOS,DF,Publicidade,Divulgação Da Atividade Parlamentar.,1,Situação cadastral não ativa: BAIXADA,FOUND,BAIXADA,4,28,383823.10,274983.723704,375023.4293293225,0.2902,Fornecedor com CNPJ suspeito
815,178922,Tadeu Alencar,PSB,PE,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,16,108,84488.81,90785.734524,140277.34198893898,-0.0449,Comportamento esperado
700,204565,Professora Dayane Pimentel,UNIÃO,BA,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,0,Documento não consultado por não ser CNPJ,NOT_APPLICABLE,,1,10,40204.00,98257.521290,134321.8726415135,-0.4322,Comportamento esperado
244,178994,Dulce Miranda,MDB,TO,Serviços profissionais,"Consultorias, Pesquisas E Trabalhos Técnicos.",0,Sem indício cadastral crítico,FOUND,ATIVA,3,12,160000.00,116859.636364,127191.31032210709,0.3392,Comportamento esperado
864,224333,Welter,PT,PR,Locomoção,Locação Ou Fretamento De Veículos Automotores,0,Sem indício cadastral crítico,FOUND,ATIVA,2,36,122152.50,113439.957419,130977.93601797776,0.0665,Comportamento esperado
716,221378,Reginete Bispo,PT,RS,Outros,"Passagens Terrestres, Marítimas Ou Fluviais",0,Sem indício cadastral crítico,FOUND,ATIVA,2,2,329.15,4236.036552,8253.072405382596,-0.4734,Comportamento esperado
861,220601,Washington Quaquá,PT,RJ,Locomoção,Locação Ou Fretamento De Veículos Automotores,0,Sem indício cadastral crítico,FOUND,ATIVA,2,47,203110.00,162239.394390,163272.60476613723,0.2503,Comportamento esperado
250,204541,Eduardo Bismarck,PDT,CE,Viagens,Passagem Aérea - Rpa,0,Sem indício cadastral crítico,FOUND,ATIVA,2,10,8993.35,32586.001200,51600.505956913454,-0.4572,Comportamento esperado
412,204546,Joice Hasselmann,PSDB,SP,Publicidade,Divulgação Da Atividade Parlamentar.,1,Situação cadastral não ativa: BAIXADA,FOUND,BAIXADA,2,12,50800.00,243741.226243,313657.1515008437,-0.6151,Fornecedor com CNPJ suspeito
698,204383,Professor Israel Batista,PSB,DF,Publicidade,Divulgação Da Atividade Parlamentar.,1,Situação cadastral não ativa: BAIXADA,FOUND,BAIXADA,1,3,17400.00,274983.723704,375023.4293293225,-0.6868,Fornecedor com CNPJ suspeito
433,74554,José Rocha,UNIÃO,BA,Alimentação,Fornecimento De Alimentação Do Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,2,2,147.27,5334.958511,10548.888785765435,-0.4918,Comportamento esperado
374,220672,Henderson Pinto,UNIÃO,PA,Outros,"Passagens Terrestres, Marítimas Ou Fluviais",0,Sem indício cadastral crítico,FOUND,ATIVA,1,2,140.00,1078.217500,1379.000592418896,-0.6804,Comportamento esperado
338,204394,Gervásio Maia,PSB,PB,Locomoção,Locação Ou Fretamento De Veículos Automotores,0,Sem indício cadastral crítico,FOUND,ATIVA,3,15,86885.33,197980.822174,165434.59936969794,-0.6715,Comportamento esperado
396,73531,Ivan Valente,PSOL,SP,Viagens,Passagem Aérea - Rpa,0,Sem indício cadastral crítico,FOUND,ATIVA,2,17,27195.18,24943.515352,36157.13967829913,0.0623,Comportamento esperado
