part_sg_partido,desp_tx_segmento_despesa,desp_tx_tipo_despesa,data_nr_ano,data_tx_ano_mes,part_qt_responsaveis,part_qt_deputados,part_qt_documentos,part_qt_fornecedores,part_vl_total_documento,part_vl_total_glosa,part_vl_total_liquido,part_vl_medio_liquido,part_pc_participacao_segmento
AVANTE,Comunicação,Telefonia,,,10,10,1,2,22023.70,0.00,22023.70,60.174044,100.00
AVANTE,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,2021,2021-12,2,2,2,2,2568.74,162.15,2406.59,1203.295000,100.00
AVANTE,Combustível,Combustíveis E Lubrificantes.,2022,2022-01,5,5,39,30,8416.22,0.00,8416.22,215.800513,11.50
AVANTE,Outros,"Passagens Terrestres, Marítimas Ou Fluviais",2022,2022-01,1,1,1,1,195.55,13.83,181.72,181.720000,0.25
AVANTE,Outros,Serviços Postais,2022,2022-01,3,3,1,1,686.19,0.00,686.19,114.365000,0.94
AVANTE,Locomoção,Locação Ou Fretamento De Veículos Automotores,2022,2022-01,1,1,2,1,6700.00,0.00,6700.00,3350.000000,9.15
AVANTE,Outros,"Serviço De Táxi, Pedágio E Estacionamento",2022,2022-01,1,1,2,1,77.74,0.00,77.74,38.870000,0.11
AVANTE,Publicidade,Divulgação Da Atividade Parlamentar.,2022,2022-01,3,3,7,6,23160.00,0.00,23160.00,3308.571429,31.64
AVANTE,Comunicação,Telefonia,2022,2022-01,3,3,6,3,1449.66,422.66,1027.00,171.166667,1.40
AVANTE,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,2022,2022-01,3,3,10,8,5508.37,78.13,5430.24,543.024000,7.42
AVANTE,Viagens,Passagem Aérea - Sigepa,2022,2022-01,3,3,13,0,12524.50,0.00,12524.50,782.781250,17.11
AVANTE,Serviços profissionais,"Consultorias, Pesquisas E Trabalhos Técnicos.",2022,2022-01,1,1,1,1,15000.00,0.00,15000.00,15000.000000,20.49
AVANTE,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",2022,2022-02,4,4,8,5,1594.77,0.00,1594.77,199.346250,0.86
AVANTE,Comunicação,Telefonia,2022,2022-02,4,4,13,5,4927.08,895.87,4031.21,268.747333,2.17
AVANTE,Viagens,Passagem Aérea - Reembolso,2022,2022-02,2,2,2,1,1864.96,0.00,1864.96,932.480000,1.00
AVANTE,Combustível,Combustíveis E Lubrificantes.,2022,2022-02,6,6,80,56,25053.96,0.00,25053.96,313.174500,13.50
AVANTE,Locomoção,Locação Ou Fretamento De Aeronaves,2022,2022-02,1,1,1,1,14000.00,0.00,14000.00,14000.000000,7.54
AVANTE,Publicidade,Divulgação Da Atividade Parlamentar.,2022,2022-02,4,4,12,10,32240.81,0.00,32240.81,2686.734167,17.37
AVANTE,Outros,"Passagens Terrestres, Marítimas Ou Fluviais",2022,2022-02,1,1,4,3,452.90,0.00,452.90,113.225000,0.24
AVANTE,Outros,"Serviço De Táxi, Pedágio E Estacionamento",2022,2022-02,1,1,15,5,334.89,13.00,321.89,21.459333,0.17
AVANTE,Locomoção,Locação Ou Fretamento De Veículos Automotores,2022,2022-02,4,4,9,6,42381.88,0.00,42381.88,4709.097778,22.83
AVANTE,Viagens,Passagem Aérea - Sigepa,2022,2022-02,3,3,19,0,17560.75,0.00,17560.75,836.226190,9.46
AVANTE,Viagens,Passagem Aérea - Rpa,2022,2022-02,3,3,9,2,9576.82,0.00,9576.82,1064.091111,5.16
AVANTE,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,2022,2022-02,3,3,13,12,18175.83,223.23,17952.60,1380.969231,9.67
AVANTE,Serviços profissionais,"Consultorias, Pesquisas E Trabalhos Técnicos.",2022,2022-02,2,2,3,3,17279.00,0.00,17279.00,5759.666667,9.31
AVANTE,Outros,Serviços Postais,2022,2022-02,3,3,1,1,1324.47,0.00,1324.47,147.163333,0.71
AVANTE,Publicidade,Divulgação Da Atividade Parlamentar.,2022,2022-03,4,4,11,11,25370.60,0.00,25370.60,2306.418182,15.26
AVANTE,Viagens,Passagem Aérea - Sigepa,2022,2022-03,5,5,31,0,44057.42,0.00,44057.42,1376.794375,26.49
AVANTE,Outros,Serviços Postais,2022,2022-03,4,4,1,1,374.65,0.00,374.65,62.441667,0.23
AVANTE,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,2022,2022-03,4,4,17,13,16140.35,202.34,15938.01,937.530000,9.58
AVANTE,Locomoção,Locação Ou Fretamento De Veículos Automotores,2022,2022-03,2,2,4,4,11120.79,22.18,11098.61,2774.652500,6.67
AVANTE,Outros,"Serviço De Táxi, Pedágio E Estacionamento",2022,2022-03,1,1,17,5,513.88,13.00,500.88,29.463529,0.30
AVANTE,Serviços profissionais,"Consultorias, Pesquisas E Trabalhos Técnicos.",2022,2022-03,3,3,4,4,25390.00,0.00,25390.00,6347.500000,15.27
