part_sg_partido,desp_tx_segmento_despesa,part_qt_responsaveis,part_qt_deputados,part_qt_documentos,part_qt_fornecedores,part_vl_total_liquido,part_vl_medio_liquido,part_vl_max_liquido,part_vl_total_geral,part_pc_segmento,part_nr_ranking_segmento,part_tx_relevancia_segmento
AVANTE,Publicidade,9,9,785,114,3526964.93,4487.232735,68200.00,10598121.58,33.28,1,Principal categoria de gasto
AVANTE,Locomoção,10,10,359,25,2351796.10,6550.964067,14000.00,10598121.58,22.19,2,Categoria relevante
AVANTE,Viagens,10,10,1630,5,1805064.81,787.893850,4761.81,10598121.58,17.03,3,Categoria relevante
AVANTE,Outros,9,9,1691,123,1243856.01,687.213265,20000.00,10598121.58,11.74,4,Categoria complementar
AVANTE,Combustível,10,10,3264,849,1033571.15,316.657828,8015.99,10598121.58,9.75,5,Categoria complementar
AVANTE,Serviços profissionais,3,3,29,6,361466.16,12464.350345,30000.00,10598121.58,3.41,6,Categoria complementar
AVANTE,Comunicação,10,10,448,19,207116.10,227.850495,1550.74,10598121.58,1.95,7,Categoria complementar
AVANTE,Hotéis,7,7,141,95,54256.68,384.799149,2299.00,10598121.58,0.51,8,Categoria complementar
AVANTE,Alimentação,2,2,305,76,14029.64,45.998820,153.12,10598121.58,0.13,9,Categoria complementar
CIDADANIA,Publicidade,5,5,183,51,1529885.47,8360.029891,166600.00,4939573.55,30.97,1,Principal categoria de gasto
CIDADANIA,Outros,6,6,1490,83,1310788.21,841.867829,73400.00,4939573.55,26.54,2,Categoria relevante
CIDADANIA,Viagens,6,6,964,4,1128397.64,973.595893,30820.50,4939573.55,22.84,3,Categoria relevante
CIDADANIA,Locomoção,6,6,124,16,469251.29,3784.284597,12500.00,4939573.55,9.50,4,Categoria complementar
CIDADANIA,Combustível,5,5,1529,546,274814.30,179.734663,1026.45,4939573.55,5.56,5,Categoria complementar
CIDADANIA,Serviços profissionais,3,3,25,5,104362.00,4174.480000,6750.00,4939573.55,2.11,6,Categoria complementar
CIDADANIA,Comunicação,6,6,289,10,85247.33,167.809705,1172.39,4939573.55,1.73,7,Categoria complementar
CIDADANIA,Hotéis,3,3,113,58,29595.22,261.904602,1442.45,4939573.55,0.60,8,Categoria complementar
CIDADANIA,Alimentação,2,2,96,36,7232.09,75.334271,243.00,4939573.55,0.15,9,Categoria complementar
MDB,Publicidade,74,74,4122,697,30499922.78,7399.301984,163791.00,75609877.43,40.34,1,Principal categoria de gasto
