part_sg_partido,desp_nr_ano,desp_nr_mes,data_tx_ano_mes,sk_resp_ceap,id_deputado,dept_tx_nome_parlamentar,desp_vl_total_liquido,rn
AVANTE,,,,616,220703,Neto Carletto,12689.06,1
AVANTE,,,,503,160510,Luis Tibé,5327.68,2
AVANTE,,,,858,91228,Waldemar Oliveira,2958.33,3
AVANTE,,,,649,204553,Pastor Sargento Isidório,289.19,4
AVANTE,,,,832,197438,Tito,232.73,5
AVANTE,,,,788,178921,Sebastião Oliveira,148.51,6
AVANTE,,,,356,198197,Greyce Elias,147.37,7
AVANTE,,,,188,220625,Delegada Ione,143.24,8
AVANTE,,,,241,220686,Duarte Jr.,78.83,9
AVANTE,,,,59,204515,André Janones,8.76,10
AVANTE,2021,12,2021-12,503,160510,Luis Tibé,1711.60,1
AVANTE,2021,12,2021-12,356,198197,Greyce Elias,694.99,2
AVANTE,2022,1,2022-01,832,197438,Tito,21792.53,1
AVANTE,2022,1,2022-01,59,204515,André Janones,17206.23,2
AVANTE,2022,1,2022-01,503,160510,Luis Tibé,16818.98,3
AVANTE,2022,1,2022-01,356,198197,Greyce Elias,12697.65,4
AVANTE,2022,1,2022-01,788,178921,Sebastião Oliveira,2604.86,5
AVANTE,2022,1,2022-01,649,204553,Pastor Sargento Isidório,2083.36,6
AVANTE,2022,2,2022-02,788,178921,Sebastião Oliveira,64469.19,1
AVANTE,2022,2,2022-02,832,197438,Tito,41222.98,2
AVANTE,2022,2,2022-02,59,204515,André Janones,21345.15,3
AVANTE,2022,2,2022-02,503,160510,Luis Tibé,20224.52,4
AVANTE,2022,2,2022-02,356,198197,Greyce Elias,20173.37,5
AVANTE,2022,2,2022-02,649,204553,Pastor Sargento Isidório,18200.81,6
AVANTE,2022,3,2022-03,788,178921,Sebastião Oliveira,40750.31,1
AVANTE,2022,3,2022-03,832,197438,Tito,27109.76,2
AVANTE,2022,3,2022-03,356,198197,Greyce Elias,26392.09,3
AVANTE,2022,3,2022-03,59,204515,André Janones,25430.09,4
AVANTE,2022,3,2022-03,649,204553,Pastor Sargento Isidório,24814.12,5
AVANTE,2022,3,2022-03,503,160510,Luis Tibé,21802.40,6
AVANTE,2022,4,2022-04,788,178921,Sebastião Oliveira,48017.94,1
AVANTE,2022,4,2022-04,356,198197,Greyce Elias,40656.85,2
AVANTE,2022,4,2022-04,832,197438,Tito,36666.38,3
AVANTE,2022,4,2022-04,59,204515,André Janones,35653.12,4
AVANTE,2022,4,2022-04,503,160510,Luis Tibé,25784.04,5
AVANTE,2022,4,2022-04,649,204553,Pastor Sargento Isidório,23532.95,6
AVANTE,2022,5,2022-05,832,197438,Tito,73180.95,1
AVANTE,2022,5,2022-05,788,178921,Sebastião Oliveira,69776.05,2
AVANTE,2022,5,2022-05,356,198197,Greyce Elias,49023.50,3
AVANTE,2022,5,2022-05,59,204515,André Janones,43965.70,4
AVANTE,2022,5,2022-05,503,160510,Luis Tibé,29150.49,5
AVANTE,2022,5,2022-05,649,204553,Pastor Sargento Isidório,16485.46,6
AVANTE,2022,6,2022-06,503,160510,Luis Tibé,97695.84,1
AVANTE,2022,6,2022-06,356,198197,Greyce Elias,34894.74,2
