id_deputado,dept_tx_nome_parlamentar,part_sg_partido,uf_sg_uf,qt_documentos,qt_documentos_comprovados,qt_glosas,qt_restituicoes,pc_documentacao
178993,Carlos Henrique Gaguim,UNIÃO,TO,1809,1575,86,0,87.06
74075,Elcione Barbalho,MDB,PA,1226,578,87,0,47.15
160669,Genecias Noronha,PL,CE,137,41,0,0,29.93
139285,Lídice Da Mata,PSB,BA,3615,3062,115,0,84.7
204495,Airton Faleiro,PT,PA,1092,402,60,0,36.81
178939,Clarissa Garotinho,UNIÃO,RJ,300,84,16,0,28.0
204361,Carlos Chiodini,MDB,SC,1930,1440,79,0,74.61
204572,Capitão Alberto Neto,PL,AM,928,427,6,0,46.01
204374,Bia Kicis,PL,DF,1323,1297,12,0,98.03
221338,Professora Luciene Cavalcante,PSOL,SP,1198,951,28,0,79.38
221329,Ricardo Abrão,PSDB,RJ,276,235,3,0,85.14
204485,Luiz Carlos Motta,PL,SP,960,810,3,0,84.38
157130,Túlio Gadêlha,PSD,PE,2163,1666,136,0,77.02
178876,Célio Silveira,MDB,GO,993,946,10,0,95.27
204458,Major Fabiana,PL,RJ,360,255,17,0,70.83
220566,Lêda Borges,REPUBLICANOS,GO,855,822,27,0,96.14
224117,Gabriel Mota,UNIÃO,RR,195,155,2,0,79.49
160599,Dimas Fabiano,PP,MG,5185,4984,128,0,96.12
204358,Beto Pereira,REPUBLICANOS,MS,970,628,92,0,64.74
62881,Danilo Forte,PP,CE,1967,1538,151,0,78.19
213762,Carla Dickson,PL,RN,671,550,4,0,81.97
178843,Marx Beltrão,UNIÃO,AL,859,435,25,0,50.64
220577,Augusto Puppio,MDB,AP,655,365,14,0,55.73
220537,Helena Lima,PSD,RR,1138,855,99,0,75.13
220689,Detinha,PL,MA,408,159,0,0,38.97
220673,Delegado Caveira,PL,PA,556,495,1,0,89.03
220699,Castro Neto,MDB,PI,1248,952,15,0,76.28
204516,Alexis Fonteyne,NOVO,SP,268,218,4,0,81.34
204413,Alcides Rodrigues,PATRIOTA,GO,316,307,17,0,97.15
204457,Juninho Do Pneu,PSDB,RJ,1404,1050,74,11,74.79
160552,Danrlei De Deus Hinterholz,PSD,RS,1224,987,30,0,80.64
220558,Zé Trovão,PL,SC,1655,1364,73,0,82.42
160161,Marcelo Queiroz,PSDB,RJ,614,404,10,0,65.8
204465,Haroldo Cathedral,PSD,RR,157,108,3,0,68.79
178857,Jorge Solla,PT,BA,5487,4973,172,0,90.63
204558,Marcelo Nilo,REPUBLICANOS,BA,550,469,61,0,85.27
220629,Dandara,PT,MG,758,529,32,0,69.79
220626,Rafael Simoes,UNIÃO,MG,1074,895,59,0,83.33
229106,Carla Ayres,PT,SC,352,325,19,0,92.33
178981,Herculano Passos,REPUBLICANOS,SP,443,323,48,0,72.91
209189,Joseildo Ramos,PT,BA,2068,1746,94,0,84.43
204548,Heitor Freire,UNIÃO,CE,239,152,10,0,63.6
204403,Marlon Santos,PL,RS,308,251,4,0,81.49
204365,Gilson Marques,NOVO,SC,840,626,22,0,74.52
93083,Cacá Leão,PP,BA,364,230,58,0,63.19
178989,Renata Abreu,PODE,SP,901,553,29,0,61.38
73466,Rubens Bueno,CIDADANIA,PR,506,285,14,0,56.32
204408,Gustinho Ribeiro,PP,SE,460,91,1,0,19.78
108338,Jaqueline Cassol,PP,RO,423,333,15,0,78.72
154919,Eleuses Paiva,PSD,SP,167,118,1,0,70.66
204428,Marília Arraes,SOLIDARIEDADE,PE,353,206,34,0,58.36
74366,João Campos,REPUBLICANOS,GO,126,107,20,0,84.92
227991,Dr Flávio,PL,RJ,138,123,1,0,89.13
204521,Abou Anni,UNIÃO,SP,750,718,32,0,95.73
178910,Joaquim Passarinho,PL,PA,1468,841,40,0,57.29
204557,Sidney Leite,PSD,AM,1081,609,1,0,56.34
107970,Ana Paula Leão,PP,MG,1907,1757,109,1,92.13
141515,Otavio Leite,PSDB,RJ,93,74,13,0,79.57
220581,Luciano Amaral,PSD,AL,958,750,70,13,78.29
74428,Mendonça Filho,PL,PE,934,678,21,0,72.59
205550,Jorge Braz,REPUBLICANOS,RJ,1158,897,25,0,77.46
204379,Acácio Favacho,MDB,AP,1132,807,6,0,71.29
220593,Abilio Brunini,PL,MT,1026,898,27,4,87.52
220663,Eriberto Medeiros,PSB,PE,896,671,101,0,74.89
160629,Romero Rodrigues,PODE,PB,460,302,33,0,65.65
74784,Luiza Erundina,PSOL,SP,1794,1038,91,0,57.86
160588,Diego Andrade,PSD,MG,1421,835,132,0,58.76
191923,Flávio Nogueira,PT,PI,1024,701,39,0,68.46
225730,Enfermeira Ana Paula,PODE,CE,471,420,16,0,89.17
204482,Euclydes Pettersen,REPUBLICANOS,MG,398,198,27,0,49.75
220554,Alexandre Lindenmeyer,PT,RS,6260,5936,182,0,94.82
220683,Beto Richa,PSDB,PR,1893,1574,81,1,83.15
74254,Leonardo Picciani,MDB,RJ,55,36,0,0,65.45
204422,Ossesio Silva,REPUBLICANOS,PE,1326,1109,74,0,83.63
160604,Pedro Uczai,PT,SC,3805,3238,303,0,85.1
179000,Marcelo Álvaro Antônio,PL,MG,1931,1433,78,0,74.21
171617,Paulão,PT,AL,1288,972,141,0,75.47
220526,Gilvan Da Federal,PL,ES,1410,1190,23,1,84.4
