id_deputado,dept_tx_nome_parlamentar,part_sg_partido,uf_sg_uf,qt_votacoes,qt_ausencias,pc_ausencia,ranking_ausencias
233592,Paulo Lemos,PSOL,AP,145,1,0.69,1
74065,Fatima Pelaes,REPUBLICANOS,AP,153,1,0.65,2
233598,Samuel Santos,PODE,GO,173,1,0.58,3
225730,Enfermeira Ana Paula,PODE,CE,199,1,0.5,4
233594,Rafael Fera,PODE,RO,240,1,0.42,5
73692,Osmar Terra,PL,RS,253,1,0.4,6
204396,Vermelho,PP,PR,264,1,0.38,7
141533,Rodrigo Rollemberg,PSB,DF,275,1,0.36,8
74270,Gilberto Nascimento,PSD,SP,338,1,0.3,9
220624,Robinson Faria,PP,RN,346,1,0.29,10
230957,João Cury,MDB,SP,360,1,0.28,11
204391,José Nelto,UNIÃO,GO,360,1,0.28,12
74478,Luciano Bivar,UNIÃO,PE,389,1,0.26,13
220581,Luciano Amaral,PSD,AL,390,1,0.26,14
220633,Ricardo Salles,NOVO,SP,391,1,0.26,15
175765,Ribamar Silva,PSD,SP,400,1,0.25,16
220703,Neto Carletto,AVANTE,BA,397,1,0.25,17
231911,Lenir De Assis,PT,PR,418,1,0.24,18
204566,Marreca Filho,PRD,MA,409,1,0.24,19
229432,Luiz Fernando Vampiro,MDB,SC,417,1,0.24,20
221329,Ricardo Abrão,UNIÃO,RJ,441,1,0.23,21
230765,Enfermeira Rejane,PCDOB,RJ,440,1,0.23,22
230768,Zé Adriano,PP,AC,461,1,0.22,23
204455,Luiz Lima,NOVO,RJ,472,1,0.21,24
214694,Jorge Goetten,REPUBLICANOS,SC,475,1,0.21,25
230767,Rodrigo Da Zaeli,PL,MT,474,1,0.21,26
220616,Luciano Vieira,REPUBLICANOS,RJ,471,1,0.21,27
204508,Igor Timo,PSD,MG,497,1,0.2,28
204436,Isnaldo Bulhões Jr.,MDB,AL,496,1,0.2,29
204482,Euclydes Pettersen,REPUBLICANOS,MG,506,1,0.2,30
74095,Pauderney Avelino,UNIÃO,AM,537,1,0.19,31
220542,Alexandre Guimarães,MDB,TO,537,1,0.19,32
204362,Ricardo Guidi,PL,SC,524,1,0.19,33
220697,Jadyel Alencar,REPUBLICANOS,PI,529,1,0.19,34
220706,Padovani,UNIÃO,PR,518,1,0.19,35
220597,Thiago Flores,REPUBLICANOS,RO,562,1,0.18,36
141518,Paulinho Da Força,SOLIDARIEDADE,SP,571,1,0.18,37
204450,Doutor Luizinho,PP,RJ,547,1,0.18,38
220689,Detinha,PL,MA,546,1,0.18,39
220660,Yury Do Paredão,MDB,CE,564,1,0.18,40
143084,Tiago Dimas,PODE,TO,584,1,0.17,41
220642,Delegado Bruno Lima,PP,SP,591,1,0.17,42
204360,Silvia Cristina,PP,RO,591,1,0.17,43
143942,Caio Vianna,PSD,RJ,601,1,0.17,44
166402,Magda Mofatto,PRD,GO,582,1,0.17,45
220647,Mauricio Neves,PP,SP,617,1,0.16,46
220674,Dra. Alessandra Haber,MDB,PA,637,1,0.16,47
220572,Marussa Boldrin,MDB,GO,611,1,0.16,48
74262,Carlos Sampaio,PSD,SP,625,1,0.16,49
178943,Marcos Soares,UNIÃO,RJ,672,1,0.15,50
220564,Yandra Moura,UNIÃO,SE,675,1,0.15,51
160553,Antonio Brito,PSD,BA,655,1,0.15,52
163321,Ronaldo Nogueira,REPUBLICANOS,RS,687,1,0.15,53
220631,Samuel Viana,REPUBLICANOS,MG,659,1,0.15,54
74454,Eunício Oliveira,MDB,CE,647,1,0.15,55
204448,Luiz Antonio Corrêa,PP,RJ,665,1,0.15,56
226837,Saulo Pedroso,PSD,SP,674,1,0.15,57
227433,Douglas Viegas,UNIÃO,SP,649,1,0.15,58
220646,Felipe Becari,UNIÃO,SP,669,1,0.15,59
220630,Pedro Aihara,PRD,MG,658,1,0.15,60
220702,Geraldo Mendes,UNIÃO,PR,673,1,0.15,61
178886,Juscelino Filho,UNIÃO,MA,660,1,0.15,62
160510,Luis Tibé,AVANTE,MG,686,1,0.15,63
220707,Amanda Gentil,PP,MA,670,1,0.15,64
220651,Simone Marquetto,MDB,SP,720,1,0.14,65
220715,Amom Mandel,CIDADANIA,AM,730,1,0.14,66
178972,Alex Manente,CIDADANIA,SP,705,1,0.14,67
138286,Luciano Alves,PSD,PR,700,1,0.14,68
153423,Renilce Nicodemos,MDB,PA,701,1,0.14,69
141459,João Maia,PP,RN,704,1,0.14,70
160635,Ruy Carneiro,PODE,PB,692,1,0.14,71
204563,Josimar Maranhãozinho,PL,MA,708,1,0.14,72
220681,Fábio Macedo,PODE,MA,715,1,0.14,73
220540,Duda Ramos,MDB,RR,690,1,0.14,74
220712,Fausto Jr.,UNIÃO,AM,726,1,0.14,75
73788,Ricardo Barros,PP,PR,721,1,0.14,76
220532,Rafael Prudente,MDB,DF,776,1,0.13,77
220570,Dr. Ismael Alexandrino,PSD,GO,789,1,0.13,78
220560,Thiago De Joaldo,PP,SE,791,1,0.13,79
204574,Junior Lourenço,PL,MA,767,1,0.13,80
160641,Professora Marcivania,PCDOB,AP,744,1,0.13,81
66385,Julio Arcoverde,PP,PI,754,1,0.13,82
220629,Dandara,PT,MG,779,1,0.13,83
220566,Lêda Borges,PSDB,GO,743,1,0.13,84
220648,Marangoni,UNIÃO,SP,798,1,0.13,85
178927,Aliel Machado,PV,PR,775,1,0.13,86
73778,Luiz Carlos Hauly,PODE,PR,768,1,0.13,87
74079,José Priante,MDB,PA,794,1,0.13,88
213762,Carla Dickson,UNIÃO,RN,787,1,0.13,89
220582,Daniel Barbosa,PP,AL,776,1,0.13,90
220693,Roberta Roma,PL,BA,779,1,0.13,91
226708,Allan Garcês,PP,MA,758,1,0.13,92
220567,Jeferson Rodrigues,REPUBLICANOS,GO,754,1,0.13,93
220569,Silvye Alves,UNIÃO,GO,826,1,0.12,94
141487,Luiz Fernando Faria,PSD,MG,832,1,0.12,95
220684,Tião Medeiros,PP,PR,814,1,0.12,96
74253,Julio Lopes,PP,RJ,824,1,0.12,97
143632,Domingos Neto,PSD,CE,869,1,0.12,98
206018,Célia Xakriabá,PSOL,MG,847,1,0.12,99
210989,Bruno Farias,AVANTE,MG,839,1,0.12,100
123756,Antônia Lúcia,REPUBLICANOS,AC,833,1,0.12,101
220603,Dani Cunha,UNIÃO,RJ,861,1,0.12,102
220670,Iza Arruda,MDB,PE,835,1,0.12,103
141456,Jilmar Tatto,PT,SP,837,1,0.12,104
160518,Weliton Prado,SOLIDARIEDADE,MG,829,1,0.12,105
220610,Dr. Fernando Máximo,UNIÃO,RO,857,1,0.12,106
220622,Nely Aquino,PODE,MG,821,1,0.12,107
220699,Castro Neto,PSD,PI,869,1,0.12,108
220625,Delegada Ione,AVANTE,MG,843,1,0.12,109
220526,Gilvan Da Federal,PL,ES,861,1,0.12,110
220552,Zucco,PL,RS,814,1,0.12,111
204441,Otoni De Paula,MDB,RJ,851,1,0.12,112
74646,Aécio Neves,PSDB,MG,840,1,0.12,113
220692,Dal Barreto,UNIÃO,BA,816,1,0.12,114
220687,Márcio Honaiser,PDT,MA,811,1,0.12,115
220658,Luiz Gastão,PSD,CE,851,1,0.12,116
74550,João Leão,PP,BA,836,1,0.12,117
220589,Eduardo Velloso,UNIÃO,AC,815,1,0.12,118
220657,André Fernandes,PL,CE,812,1,0.12,119
220573,Dorinaldo Malafaia,PDT,AP,820,1,0.12,120
160588,Diego Andrade,PSD,MG,816,1,0.12,121
171786,Miguel Ângelo,PT,MG,856,1,0.12,122
220672,Henderson Pinto,MDB,PA,849,1,0.12,123
220592,Zezinho Barbary,PP,AC,837,1,0.12,124
204395,Pedro Lupion,PP,PR,885,1,0.11,125
224333,Welter,PT,PR,933,1,0.11,126
220665,Clarissa Tércio,PP,PE,879,1,0.11,127
74374,Geraldo Resende,PSDB,MS,946,1,0.11,128
220586,Rafael Brito,MDB,AL,903,1,0.11,129
204411,Filipe Barros,PL,PR,889,1,0.11,130
204571,Alex Santana,REPUBLICANOS,BA,940,1,0.11,131
220694,Ricardo Maia,MDB,BA,877,1,0.11,132
104552,Socorro Neri,PP,AC,894,1,0.11,133
107970,Ana Paula Leão,PP,MG,918,1,0.11,134
141458,João Carlos Bacelar,PL,BA,890,1,0.11,135
220663,Eriberto Medeiros,PSB,PE,910,1,0.11,136
220591,Meire Serafim,UNIÃO,AC,895,1,0.11,137
220623,Duda Salabert,PDT,MG,894,1,0.11,138
141408,Cleber Verde,MDB,MA,910,1,0.11,139
220557,Daniela Reinehr,PL,SC,928,1,0.11,140
165470,Rodrigo Valadares,UNIÃO,SE,924,1,0.11,141
220628,Mauricio Do Vôlei,PL,MG,931,1,0.11,142
74400,Paulo Pimenta,PT,RS,878,1,0.11,143
160674,Hugo Motta,REPUBLICANOS,PB,931,1,0.11,144
178989,Renata Abreu,PODE,SP,946,1,0.11,145
74356,Silas Câmara,REPUBLICANOS,AM,881,1,0.11,146
220609,Maurício Carvalho,UNIÃO,RO,896,1,0.11,147
220549,Any Ortiz,CIDADANIA,RS,932,1,0.11,148
220602,Dimas Gadelha,PT,RJ,904,1,0.11,149
220548,Camila Jara,PT,MS,924,1,0.11,150
221328,Adilson Barroso,PL,SP,917,1,0.11,151
220650,Paulo Alexandre Barbosa,PSDB,SP,932,1,0.11,152
180214,Pastor Diniz,UNIÃO,RR,907,1,0.11,153
220669,Lula Da Fonte,PP,PE,878,1,0.11,154
162067,Kiko Celeguim,PT,SP,925,1,0.11,155
88256,Clodoaldo Magalhães,PV,PE,902,1,0.11,156
204560,Adolfo Viana,PSDB,BA,902,1,0.11,157
160527,Aguinaldo Ribeiro,PP,PB,943,1,0.11,158
178954,Lucio Mosquini,MDB,RO,877,1,0.11,159
222429,Luis Carlos Gomes,REPUBLICANOS,RJ,908,1,0.11,160
220673,Delegado Caveira,PL,PA,938,1,0.11,161
220604,Marcos Tavares,PDT,RJ,877,1,0.11,162
220538,Albuquerque,REPUBLICANOS,RR,899,1,0.11,163
220659,Dayany Bittencourt,UNIÃO,CE,927,1,0.11,164
141485,Luiz Carlos Busato,UNIÃO,RS,941,1,0.11,165
220534,Fred Linhares,REPUBLICANOS,DF,944,1,0.11,166
220685,Paulo Litro,PSD,PR,932,1,0.11,167
220664,Guilherme Uchoa,PSB,PE,926,1,0.11,168
220700,Florentino Neto,PT,PI,911,1,0.11,169
220528,Dr. Victor Linhalis,PODE,ES,893,1,0.11,170
178881,Aluisio Mendes,REPUBLICANOS,MA,906,1,0.11,171
160629,Romero Rodrigues,PODE,PB,914,1,0.11,172
74161,Reginaldo Lopes,PT,MG,942,1,0.11,173
74090,Átila Lins,PSD,AM,933,1,0.11,174
223128,Rodrigo Estacho,PSD,PR,876,1,0.11,175
220675,Antônio Doido,MDB,PA,909,1,0.11,176
98615,Ismael,PSD,SC,883,1,0.11,177
220584,Murilo Galdino,REPUBLICANOS,PB,927,1,0.11,178
220617,Murillo Gouvea,UNIÃO,RJ,947,1,0.11,179
80815,Leo Prates,PDT,BA,922,1,0.11,180
204570,Pastor Gil,PL,MA,976,1,0.1,181
178884,Hildo Rocha,MDB,MA,1026,1,0.1,182
220556,Ana Paula Lima,PT,SC,961,1,0.1,183
98148,Cobalchini,MDB,SC,1021,1,0.1,184
220618,Sargento Portugal,PODE,RJ,964,1,0.1,185
220638,Antonio Carlos Rodrigues,PL,SP,1006,1,0.1,186
220708,Gabriel Nunes,PSD,BA,1024,1,0.1,187
220605,Bandeira De Mello,PSB,RJ,990,1,0.1,188
220635,Bruno Ganem,PODE,SP,1004,1,0.1,189
141516,Paulo Abi-ackel,PSDB,MG,990,1,0.1,190
204464,Talíria Petrone,PSOL,RJ,1031,1,0.1,191
92776,Stefano Aguiar,PSD,MG,1033,1,0.1,192
220594,Coronel Assis,UNIÃO,MT,1017,1,0.1,193
220561,Delegada Katarina,PSD,SE,1034,1,0.1,194
220606,Reimont,PT,RJ,959,1,0.1,195
220683,Beto Richa,PSDB,PR,1025,1,0.1,196
224117,Gabriel Mota,REPUBLICANOS,RR,988,1,0.1,197
209787,Nikolas Ferreira,PL,MG,1042,1,0.1,198
74428,Mendonça Filho,UNIÃO,PE,954,1,0.1,199
220551,Franciane Bayer,REPUBLICANOS,RS,985,1,0.1,200
162332,Luiz Nishimori,PSD,PR,1030,1,0.1,201
62881,Danilo Forte,UNIÃO,CE,1009,1,0.1,202
220607,Max Lemos,PDT,RJ,985,1,0.1,203
220641,Rodrigo Gambale,PODE,SP,992,1,0.1,204
220544,Antonio Andrade,REPUBLICANOS,TO,1013,1,0.1,205
221148,Alfredinho,PT,SP,1039,1,0.1,206
220682,Tadeu Veneri,PT,PR,953,1,0.1,207
74858,Lindbergh Farias,PT,RJ,1014,1,0.1,208
178997,Moses Rodrigues,UNIÃO,CE,1036,1,0.1,209
220686,Duarte Jr.,PSB,MA,1005,1,0.1,210
220553,Denise Pessôa,PT,RS,973,1,0.1,211
220619,Delegado Ramagem,PL,RJ,1044,1,0.1,212
220653,Fábio Teruel,MDB,SP,965,1,0.1,213
73768,Dilceu Sperafico,PP,PR,1021,1,0.1,214
220536,Zé Haroldo Cathedral,PSD,RR,1042,1,0.1,215
220608,Cristiane Lopes,UNIÃO,RO,971,1,0.1,216
220667,Pedro Campos,PSB,PE,1020,1,0.1,217
220527,Jack Rocha,PT,ES,1040,1,0.1,218
137070,Vicentinho Júnior,PP,TO,990,1,0.1,219
