sk_evt,sk_org,sk_data_inicio,sk_data_fim,evt_id_evento,evt_dt_inicio,evt_nr_ano,evt_nr_mes,evt_nr_semana_ano,data_tx_ano_mes,evt_dt_fim,org_id_orgao,org_sg_orgao,org_tx_nome,org_tx_tipo_curado,evt_tx_uri,evt_ts_inicio,evt_ts_fim,evt_tx_descricao,evt_tx_tipo,evt_tx_situacao,evt_tx_tipo_curado,evt_tx_situacao_curada,evt_fl_inicio_valido,evt_fl_fim_valido,evt_fl_periodo_valido,evt_fl_sessao,evt_fl_audiencia_publica,evt_fl_reuniao,evt_fl_encerrado,evt_fl_cancelado,evt_fl_possui_registro,evt_tx_url_registro,evt_tx_local_interno,evt_tx_predio,evt_tx_sala,evt_tx_andar,evt_tx_local_externo,evt_tx_tipo_local,evt_qt_orgaos,org_id_orgao_principal,org_sg_orgao_principal,org_tx_nome_principal,org_tx_tipo_principal,org_tx_siglas_relacionadas,bronze_ts_ingestao,bronze_dt_ingestao,bronze_tx_endpoint,bronze_id_origem,bronze_id_batch,bronze_tx_record_hash,gold_ts_processamento,gold_id_batch
7098,1426,20250218,20250218,74527,2025-02-18,2025,2,8,2025-02,2025-02-18,537020,CEDES,Centro De Estudos E Debates Estratégicos,Conselho,https://dadosabertos.camara.leg.br/api/v2/eventos/74527,2025-02-18T10:06:00.000Z,2025-02-18T12:37:00.000Z,"Educação E Trabalho: Impactos E Desafios Da Ia Para O Século Xxi  Câmara Dos Deputados Centro De Estudos E Debates Estratégicos 57ª Legislatura - 3ª Sessão Legislativa Ordinária Reunião Técnica De 18 De Fevereiro De 2025 Estudo \"inteligência Artificial, Inclusão Digital, Automação Do Trabalho, Empregabilidade E Previdência\" Tema: Educação E Trabalho: Impactos E Desafios Da Ia Para O Século Xxi Local: Plenário 4    Data: 18/02/25    Horário: 10h00 P A U T A Da Reunião O Objetivo Desta Audiência \"educação E Trabalho: Impactos E Desafios Da Ia Para O Século Xxi\" É Explorar Alguns Dos Principais Impactos Da Ia Na Educação Como: Personalização Do Ensino, Acesso A Recursos, Automatização De Avaliações E Feedback, Além Da Formação Contínua De Educadores. Os Impactos No Trabalho Abrangem A Automação De Tarefas, Novas Oportunidades De Emprego E O Trabalho Híbrido. Alguns Desafios A Serem Enfrentados São: Desigualdade Na Educação, Requalificação, Ética E Privacidade E Resistência À Mudança. A Ia Traz Tanto Oportunidades Quanto Desafios Significativos Para A Educação E O Trabalho. Para Maximizar Os Benefícios E Mitigar Os Riscos, Será Essencial Investir Em Formação, Infraestrutura E Políticas Que Promovam A Inclusão E A Ética. 1 Abertura Dos Trabalhos Pelo Deputado Relator Do Estudo    - Deputado Hélio Lopes 2 Apresentação Dos Palestrantes:     - Paulo Blikstein, Professor Da Universidade De Columbia (eua) E Pesquisador Visitante Do Instituto       Tecnológico De Monterrey (méxico)        - Luiz Antonio Cruz Caruso, Consultor Da Organização Das Nações Unidas Para A Educação, A                   Ciência E A Cultura (unesco)     - Fabiano Hartmann Peixoto, Professor Da Faculdade De Direito Da Universidade De Brasília - Unb      - Rafael Lucchesi Ramacciotti, Diretor De Educação E Tecnologia Da Confederação Nacional         Da Indústria (cni)      - Sérgio Amadeu Da Silveira, Professor Da Universidade Federal Do Abc 3 Debate Entre O Deputado Relator, Palestrantes, Consultores E Convidados     Consultores Legislativos: Angelo Azevedo Queiroz, Guilherme Pereira Pinheiro, Igor Manuel Moreira        Lima, Charles Da Costa Bruxel, Thiago Freire Laporte, Renato Gilioli, Leonid Garnitskiy 4 Encerramento Dos Trabalhos",Reunião Técnica,Encerrada,Reunião,Encerrado,1,1,1,0,0,1,1,0,1,https://www.youtube.com/watch?v=o9UeH1hjKOM,"Anexo Ii, Plenário 04",,,,,Câmara,1,537020,CEDES,Centro de Estudos e Debates Estratégicos,Conselho,CEDES,2026-05-05T05:26:40.074Z,2026-05-05,/eventos,74527,ba097954-315f-424f-8c3d-7a696a933edf,64a15dcf6c7ad90d0ca303dedda2d260ceb6787db8bcf8687a270d35f821046b,2026-05-13T20:12:09.803Z,70d5dd9f-0fc7-4cd3-b571-7dcc409f3995
7650,1414,20250319,20250319,75319,2025-03-19,2025,3,12,2025-03,2025-03-19,536996,CCULT,Comissão De Cultura,Comissão,https://dadosabertos.camara.leg.br/api/v2/eventos/75319,2025-03-19T14:42:00.000Z,2025-03-19T15:19:00.000Z,Reunião De Instalação E Eleição,Reunião De Instalação E Eleição,Encerrada (final),Reunião,Encerrado,1,1,1,0,0,1,1,0,1,https://www.youtube.com/watch?v=ThjoYGeN3mU,"Anexo Ii, Plenário 10",,,,,Câmara,1,536996,CCULT,Comissão de Cultura,Comissão Permanente,CCULT,2026-05-05T05:26:40.074Z,2026-05-05,/eventos,75319,ba097954-315f-424f-8c3d-7a696a933edf,f41e8358a9b41dbd32ff1ce64a01423798387c132851a11d69763b41b005c594,2026-05-13T20:12:09.803Z,70d5dd9f-0fc7-4cd3-b571-7dcc409f3995
7651,146,20250319,20250319,75320,2025-03-19,2025,3,12,2025-03,2025-03-19,6174,CMADS,Comissão De Meio Ambiente E Desenvolvimento Sustentável,Comissão,https://dadosabertos.camara.leg.br/api/v2/eventos/75320,2025-03-19T11:06:00.000Z,2025-03-19T12:04:00.000Z,Instalação Da Comissão E Eleição Para Os Cargos De Presidente E Vice-presidentes,Reunião De Instalação E Eleição,Encerrada (final),Reunião,Encerrado,1,1,1,0,0,1,1,0,1,https://www.youtube.com/watch?v=u6NGG7IWezw,"Anexo Ii, Plenário 02",,,,,Câmara,1,6174,CMADS,Comissão de Meio Ambiente e Desenvolvimento Sustentável,Comissão Permanente,CMADS,2026-05-05T05:26:40.074Z,2026-05-05,/eventos,75320,ba097954-315f-424f-8c3d-7a696a933edf,54f073619358a799ad78e51e89fc69e13cd45124e46fcd2e559eaddca57e6f11,2026-05-13T20:12:09.803Z,70d5dd9f-0fc7-4cd3-b571-7dcc409f3995
7652,3,20250326,,75321,2025-03-26,2025,3,13,2025-03,,2001,CAPADR,"Comissão De Agricultura, Pecuária, Abastecimento E Desenvolvimento Rural",Comissão,https://dadosabertos.camara.leg.br/api/v2/eventos/75321,2025-03-26T10:00:00.000Z,,Eleição De Vice-presidentes,Reunião De Eleição,Cancelada,Reunião,Cancelado,1,1,1,0,0,1,0,1,0,,"Anexo Ii, Plenário 06",,,,,Câmara,1,2001,CAPADR,"Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural",Comissão Permanente,CAPADR,2026-05-05T05:26:40.074Z,2026-05-05,/eventos,75321,ba097954-315f-424f-8c3d-7a696a933edf,3f3c6fb696345ebbb5b4e63f3b471cc799f35bb630cd2fe6029940e129ab730f,2026-05-13T20:12:09.803Z,70d5dd9f-0fc7-4cd3-b571-7dcc409f3995
7664,14,20250326,20250326,75348,2025-03-26,2025,3,13,2025-03,2025-03-26,2014,CSAUDE,Comissão De Saúde,Comissão,https://dadosabertos.camara.leg.br/api/v2/eventos/75348,2025-03-26T10:15:00.000Z,2025-03-26T11:02:00.000Z,Votação De Requerimentos,Reunião Deliberativa,Encerrada (final),Reunião,Encerrado,1,1,1,0,0,1,1,0,1,https://www.youtube.com/watch?v=2bhDt92XcYU,"Anexo Ii, Plenário 07",,,,,Câmara,1,2014,CSAUDE,Comissão de Saúde,Comissão Permanente,CSAUDE,2026-05-05T05:26:40.074Z,2026-05-05,/eventos,75348,ba097954-315f-424f-8c3d-7a696a933edf,123636facc2e7b26fc005bd80f3de2676bdce2b745ec716a3978e80306285d46,2026-05-13T20:12:09.803Z,70d5dd9f-0fc7-4cd3-b571-7dcc409f3995
7671,17,20250326,20250326,75356,2025-03-26,2025,3,13,2025-03,2025-03-26,2017,CINDRE,Comissão De Integração Nacional E Desenvolvimento Regional,Comissão,https://dadosabertos.camara.leg.br/api/v2/eventos/75356,2025-03-26T11:20:00.000Z,2025-03-26T11:28:00.000Z,Eleição Do 1º Vice-presidente,Reunião De Eleição,Encerrada (final),Reunião,Encerrado,1,1,1,0,0,1,1,0,0,,"Anexo Ii, Plenário 15",,,,,Câmara,1,2017,CINDRE,Comissão de Integração Nacional e Desenvolvimento Regional,Comissão Permanente,CINDRE,2026-05-05T05:26:40.074Z,2026-05-05,/eventos,75356,ba097954-315f-424f-8c3d-7a696a933edf,266152ae15f21612d97350e5eb33953de8aa5029a5dc6fbdb82f7cc4bf031fcb,2026-05-13T20:12:09.803Z,70d5dd9f-0fc7-4cd3-b571-7dcc409f3995
7679,1,20250203,20250203,75375,2025-02-03,2025,2,6,2025-02,2025-02-03,111,CN,Congresso Nacional,Órgão Do Congresso Nacional,https://dadosabertos.camara.leg.br/api/v2/eventos/75375,2025-02-03T16:30:00.000Z,2025-02-03T17:36:00.000Z,Destinada A Inaugurar A 3ª Sessão Legislativa Ordinária Da 57ª Legislatura,Sessão Não Deliberativa Solene,Encerrada,Sessão,Encerrado,1,1,1,1,0,0,1,0,1,https://www.youtube.com/watch?v=oMq2CJbKP1s,Plenário Da Câmara Dos Deputados,,,,,Câmara,1,111,CN,CONGRESSO NACIONAL,Órgão do Congresso Nacional,CN,2026-05-05T05:26:40.074Z,2026-05-05,/eventos,75375,ba097954-315f-424f-8c3d-7a696a933edf,5adf80b6b01afb7925ee0221a5974e8ea445466b764c9a2e3b2308aac9fab24b,2026-05-13T20:12:09.803Z,70d5dd9f-0fc7-4cd3-b571-7dcc409f3995
7680,2235,20250211,20250211,75377,2025-02-11,2025,2,7,2025-02,2025-02-11,539419,CEENERG,"Comissão Especial Para Estudo, Avaliação E Acompanhamento Das Iniciativas E Medidas Adotadas Para Transição Energética - Fontes Renováveis E Produção De Hidrogênio Verde No Brasil",Comissão,https://dadosabertos.camara.leg.br/api/v2/eventos/75377,2025-02-11T14:41:00.000Z,2025-02-11T16:25:00.000Z,"Acompanhamento Da Regulamentação E Implementação De Marcos Legais Para A Transição Energética  Seminário Tema: Acompanhamento Da Regulamentação E Implementação De Marcos Legais Para A Transição Energética Convidados: Rafael Ramalho Dubeux, Secretário-executivo Adjunto Do Ministério Da Fazenda (confirmado); João Francisco Paiva Avelino, Diretor Do Departamento De Descarbonização E Finanças Verdes Do Ministério Do Desenvolvimento, Indústria, Comércio E Serviços (confirmado); Pietro Adamo Sampaio Mendes, Secretário De Petróleo, Gás Natural E Biocombustíveis Do Ministério De Minas E Energia (confirmado); Ana Carolina Chaves, Pesquisadora Plena No Grupo De Estudos Do Setor Elétrico (gesel) Da Universidade Federal Do Rio De Janeiro (confirmada); E Gonçalo Amarante Guimarães Pereira, Professor Titular Do Instituto De Biologia Da Universidade Estadual De Campinas (confirmado). (requerimento N. 2/2024, Do Dep. Leônidas Cristino)",Seminário,Encerrada (final),Seminário,Encerrado,1,1,1,0,0,0,1,0,0,,"Anexo Ii, Plenário 03",,,,,Câmara,1,539419,CEENERG,"Comissão Especial para estudo, avaliação e acompanhamento das iniciativas e medidas adotadas para transição energética - Fontes Renováveis e Produção de Hidrogênio Verde no Brasil",Comissão Especial,CEENERG,2026-05-05T05:26:40.074Z,2026-05-05,/eventos,75377,ba097954-315f-424f-8c3d-7a696a933edf,b128c4401a7ae2888dfdbe23bf934b584b0907379148ff356da2c0f617b3a632,2026-05-13T20:12:09.803Z,70d5dd9f-0fc7-4cd3-b571-7dcc409f3995
7681,,20250127,,75378,2025-01-27,2025,1,5,2025-01,,,,,,https://dadosabertos.camara.leg.br/api/v2/eventos/75378,2025-01-27T09:00:00.000Z,,Visibilidade Trans Na Câmara Dos Deputados,Reunião Técnica,Convocada,Reunião,Convocado,1,1,1,0,0,1,0,0,0,,"Anexo Ii, Plenário 01",,,,,Câmara,1,100950,EVENTOS,Eventos,Órgão da Câmara dos Deputados,EVENTOS,2026-05-05T05:26:40.074Z,2026-05-05,/eventos,75378,ba097954-315f-424f-8c3d-7a696a933edf,79b1f59a369d30fa52d8100ac76b8d36113c3b6fa731f1d87a9bb550e06f6cb0,2026-05-13T20:12:09.803Z,70d5dd9f-0fc7-4cd3-b571-7dcc409f3995
7685,,20250205,,75384,2025-02-05,2025,2,6,2025-02,,,,,,https://dadosabertos.camara.leg.br/api/v2/eventos/75384,2025-02-05T16:00:00.000Z,,3ª Reunião Da Frente Parlamentar Mista Em Apoio Ao Acolhimento De Migrantes Transnacionais De Refugiados,Reunião Técnica,Convocada,Reunião,Convocado,1,1,1,0,0,1,0,0,0,,"Anexo Ii, Plenário 05",,,,,Câmara,1,100950,EVENTOS,Eventos,Órgão da Câmara dos Deputados,EVENTOS,2026-05-05T05:26:40.074Z,2026-05-05,/eventos,75384,ba097954-315f-424f-8c3d-7a696a933edf,39641cba67411970f0f6fbbc6db9f9372f093297be4833667b896f193e2c62f0,2026-05-13T20:12:09.803Z,70d5dd9f-0fc7-4cd3-b571-7dcc409f3995
