evt_id_evento,evt_tx_descricao,evt_tx_situacao,evt_tx_tipo,evt_tx_situacao_curada,evt_tx_tipo_curado,evt_tx_local_interno,evt_tx_local_externo,evt_tx_tipo_local,evt_dt_inicio,evt_dt_fim,evt_nr_ano,evt_nr_mes,evt_nr_semana_ano,data_tx_ano_mes,org_id_orgao,org_sg_orgao,org_tx_nome,org_tx_tipo_curado
81812,Homenagem Aos 80 Anos Da Universidade Federal Da Bahia - Ufba  Homenagem Aos Oitenta Anos Da Universidade Federal Da Bahia - Ufba,Agendada,Sessão Não Deliberativa Solene,Agendada,Sessão,Plenário Da Câmara Dos Deputados,,Câmara,2026-07-08,,2026,7,28,2026-07,180,PLEN,Plenário,Plenário
81461,"Qualidade Do Serviço Prestado Pela Amazonas Energia S/a  Requerimentos Nº 24/2025 (cdc),  24/2025 (cme) E 14/2026 (cdc),  Do Deputado Fausto Santos Jr.. Convidados: Alexandre Silveira De Oliveira Ministro De Estado De  Minas E Energia Sandoval De Araújo Feitosa Neto Diretor-geral Da Agência Nacional De Energia Elétrica - Aneel Márcio Pereira Zimmermann Diretor-presidente Da Amazonas Energia S/a Jalil Fraxe Campos Diretor-presidente Do Procon Do Amazonas - Confirmado Leda Mara Nascimento Albuquerque Procuradora-geral De Justiça Do Ministério Público Do Amazonas Dep.mário César Filho Presidente Da Comissão De Defesa Do Consumidor Da Assembleia Legislativa Do Estado Do Amazonas. Representante Da Âmbar Energia",Convocada,Audiência Pública,Convocado,Audiência Pública,A Definir,,Câmara,2026-05-26,,2026,5,22,2026-05,2004,CDC,Comissão De Defesa Do Consumidor,Comissão
81528,"Comenda Incentivadores Do Esporte  Cerimônia De Homenagem Para Concessão De Prêmio Denominado \"comenda Incentivadores Do Esporte\", Em Atenção Ao Requerimento Nº 10/2026, De Autoria Do Deputado Saulo Pedroso. Convidados: Sr. Paulo Henrique Perna Cordeiro, Ministro Do Ministério Do Esporte; Sra. Carolinne Gomes Neves De Carvalho, Diretora De Programas E Políticas De Incentivo Ao Esporte; Incentivadores Confirmados: Itaú Seguros S.a. Proponentes Confirmados: Instituto Ltp Brasil Incentivadores Homenageados: Vale S.a. Nu Financeira Salobo Metais S/a Shell Brasil Petróleo Ltda. Petrobras S.a. Companhia De Saneamento Básico Do Estado De São Paulo Redecard Instituição De Pagamentos S.a Transportadora Associada De Gás S.a. Bradesco Administradora De Consórcios Ltda. Proponentes Homenageados: Clube De Regatas Do Flamengo Confederação Brasileira De Judô Conexão Esportiva & Cultural Instituto De Estudos Superiores Em Gestão Do Esporte",Convocada,Homenagem,Convocado,Homenagem,,Salão Nobre,Externo,2026-05-26,,2026,5,22,2026-05,537236,CESPO,Comissão Do Esporte,Comissão
81837,Homenage Ao Dia Nacional Da Mata Atlântica,Agendada,Sessão Não Deliberativa Solene,Agendada,Sessão,Plenário Da Câmara Dos Deputados,,Câmara,2026-05-28,,2026,5,22,2026-05,180,PLEN,Plenário,Plenário
81932,Homenagem Aos 35 Anos Da Confederação Nacional Dos Trabalhadores Em Estabelecimentos De Ensino – Contee,Agendada,Sessão Não Deliberativa Solene,Agendada,Sessão,Plenário Da Câmara Dos Deputados,,Câmara,2026-06-17,,2026,6,25,2026-06,180,PLEN,Plenário,Plenário
81444,"Reurbanização Das Favelas Para O Desenvolvimento Social  Câmara Dos Deputados Centro De Estudos E Debates Estratégicos 57ª Legislatura - 4ª Sessão Legislativa Ordinária Seminário Reurbanização Das Favelas Para O Desenvolvimento Social Local: Plenário 4    Data: 21/05/26    Horário: 9h00 Às 13h00 P A U T A Convidamos Toda A Comunidade Para Participar Do Seminário \"reurbanização Das Favelas Para O Desenvolvimento Social\", Que Integra O Importante Estudo Do Centro De Estudos E Debates Estratégicos Da Câmara Dos Deputados Intitulado \"favelas E Comunidades Urbanas: Conectividade E Inclusão Digital Para O Desenvolvimento Socioeconômico Do Trabalhador 5.0\". Este Evento Representa Uma Oportunidade Única De Debater Soluções Inovadoras Para A Transformação Das Comunidades Urbanas, Promovendo A Inclusão Digital E O Desenvolvimento Socioeconômico Em Um Contexto De Constantes Mudanças Tecnológicas E Sociais. O Seminário Será Conduzido Pelo Deputado Hélio Lopes E Acontecerá No Dia 21 De Maio De 2026, Das 9h Às 13h, No Plenário 4 Da Câmara Dos Deputados. Durante O Encontro, Especialistas, Gestores Públicos E Representantes Da Sociedade Civil Discutirão Estratégias De Reurbanização Que Conectem Infraestrutura Urbana, Inclusão Digital E Oportunidades De Trabalho Para Os Moradores De Favelas E Comunidades. Sua Presença E Participação São Fundamentais Para Construirmos Juntos Um Futuro Mais Justo E Inclusivo. Não Perca Esta Oportunidade De Contribuir Com Ideias E Conhecer As Propostas Que Podem Transformar A Realidade De Milhões De Brasileiros! Programação  9h - 11h - Mesa 1  - Moderador: Deputado Hélio Lopes, Relator Do Estudo E Membro Do Cedes -  Deputado Márcio Jerry, Presidente Do Centro De Estudos E Debates Estratégicos Da Câmara Dos          Deputados - Jader Barbalho Filho, Ministro Das Cidades - Guilherme Simões, Secretário Nacional De Periferias Do Ministério Das Cidades - Luiz Fernando Pezão, Prefeito De Piraí, Rj - Rayne Ferreti Moraes, Chefe Do Escritório Do Brasil Da Onu-habitat, Escritório Regional Para      América Latina E O Caribe, Brasil E Cone Sul - Maria Migliore, Diretora De Integração Produtiva Na Organização Fundar E Ex-ministra De Desenvolvimento Humano E Hábitat Da Cidade De Buenos Aires 11h - 13h - Mesa 2  - Deputado Hélio Lopes, Relator Do Estudo E Membro Do Cedes - João Porto De Albuquerque, Diretor Do Urban Big Data Centre Da Universidade De Glasgow  - Gustavo Taniguchi, Ceo Da Urbtec Engenharia, Planejamento E Consultoria  - Jeroen Johannes Klink, Diretor Do Centro De Estudos Da Favela - Cefavela - Raul Juste Lores, Jornalista, Escritor, Pesquisador De Arquitetura E Urbanismo E Criador Do Projeto São    Paulo Nas Alturas",Convocada,Seminário,Convocado,Seminário,"Anexo Ii, Plenário 04",,Câmara,2026-05-21,,2026,5,21,2026-05,537020,CEDES,Centro De Estudos E Debates Estratégicos,Conselho
81810,"Homenagem Aos 203 Anos Do Dia 02 De Julho, Data Comemorativa Da Independência Da Bahia  Homenagem Aos Duzentos E Três Anos Do Dia 02 De Julho, Data Comemorativa Da Independência Da Bahia",Agendada,Sessão Não Deliberativa Solene,Agendada,Sessão,Plenário Da Câmara Dos Deputados,,Câmara,2026-07-08,,2026,7,28,2026-07,180,PLEN,Plenário,Plenário
81542,Homenagem Ao Centenário Do Geógrafo Milton Santos,Agendada,Sessão Não Deliberativa Solene,Agendada,Sessão,Plenário Da Câmara Dos Deputados,,Câmara,2026-05-27,,2026,5,22,2026-05,180,PLEN,Plenário,Plenário
81599,Homenagem Aos 50 Anos Da Fundação Nacional De Artes (funarte),Agendada,Sessão Não Deliberativa Solene,Agendada,Sessão,Plenário Da Câmara Dos Deputados,,Câmara,2026-05-29,,2026,5,22,2026-05,180,PLEN,Plenário,Plenário
81534,Homenagem Aos 475 Anos Da Diocese De Salvador,Convocada,Sessão Não Deliberativa Solene,Convocado,Sessão,Plenário Da Câmara Dos Deputados,,Câmara,2026-05-27,,2026,5,22,2026-05,111,CN,Congresso Nacional,Órgão Do Congresso Nacional
