evt_nr_ano,evt_nr_semana_ano,qt_eventos,qt_orgaos,qt_audiencias_publicas,qt_reunioes,qt_sessoes,evento_tx_nivel_atividade
2025,45,169,48,40,98,6,Alta atividade
2025,8,10,5,1,4,5,Atividade moderada
2023,42,103,43,23,51,9,Alta atividade
2023,18,85,38,17,53,6,Alta atividade
2023,46,21,15,4,9,1,Alta atividade
2024,17,103,44,37,41,11,Alta atividade
2024,19,91,40,32,41,10,Alta atividade
2024,18,15,8,1,1,1,Atividade moderada
2024,29,11,7,3,4,0,Atividade moderada
2024,14,8,4,1,0,2,Atividade moderada
2022,17,34,25,1,21,7,Alta atividade
2022,18,58,36,2,39,9,Alta atividade
2022,9,1,0,0,1,0,Baixa atividade
2026,22,15,7,3,2,9,Atividade moderada
2026,24,4,2,1,0,3,Baixa atividade
2025,19,97,43,23,56,8,Alta atividade
2025,29,73,39,20,34,5,Alta atividade
2025,32,90,42,27,37,9,Alta atividade
2025,38,104,45,33,40,10,Alta atividade
2025,50,122,44,33,55,13,Alta atividade
2025,9,6,2,0,2,4,Atividade moderada
2025,52,1,1,0,1,0,Baixa atividade
2023,13,57,34,3,43,7,Alta atividade
2023,10,14,4,1,4,6,Atividade moderada
2023,52,1,1,0,0,1,Baixa atividade
2024,33,83,42,22,44,12,Alta atividade
2022,19,64,36,12,36,8,Alta atividade
2022,21,74,38,20,37,7,Alta atividade
2022,27,116,43,43,49,11,Alta atividade
2026,13,50,28,11,20,10,Alta atividade
2026,7,30,20,0,21,5,Alta atividade
2025,51,65,34,10,39,7,Alta atividade
2023,35,136,55,43,52,10,Alta atividade
2023,45,142,49,33,77,10,Alta atividade
2023,6,4,1,0,0,3,Baixa atividade
2023,24,110,47,42,44,6,Alta atividade
2024,27,116,40,44,48,6,Alta atividade
2024,47,36,22,6,19,7,Alta atividade
2024,51,30,18,13,6,8,Alta atividade
2022,25,88,38,25,41,7,Alta atividade
2022,32,10,4,3,1,0,Atividade moderada
2022,48,71,35,20,33,10,Alta atividade
2022,42,30,18,1,18,5,Alta atividade
2022,34,11,6,5,0,3,Atividade moderada
2022,15,9,7,3,3,3,Atividade moderada
2026,16,89,42,21,43,11,Alta atividade
2026,28,4,1,0,0,4,Baixa atividade
2025,18,41,27,5,28,5,Alta atividade
2025,43,115,45,33,43,10,Alta atividade
2025,7,8,4,2,1,4,Atividade moderada
2023,14,8,5,2,2,3,Atividade moderada
2024,26,52,20,17,18,6,Alta atividade
2022,20,78,38,21,35,7,Alta atividade
2022,8,16,10,4,8,3,Alta atividade
2022,14,18,9,4,5,7,Alta atividade
2022,46,2,2,2,0,0,Baixa atividade
2025,27,97,41,29,37,9,Alta atividade
2025,35,113,43,41,41,13,Alta atividade
2025,46,69,30,19,26,7,Alta atividade
2025,48,118,47,33,46,14,Alta atividade
2025,14,63,35,2,51,7,Alta atividade
2025,25,71,38,26,27,6,Alta atividade
2023,25,103,43,32,44,6,Alta atividade
2024,15,73,40,11,44,7,Alta atividade
2024,50,108,39,28,47,12,Alta atividade
2024,20,94,43,27,39,9,Alta atividade
2024,6,7,5,1,2,3,Atividade moderada
2026,6,30,26,0,27,3,Alta atividade
2026,20,26,16,11,1,10,Alta atividade
2026,25,7,3,0,0,6,Atividade moderada
2026,21,17,8,5,0,8,Alta atividade
2026,17,14,7,1,2,4,Atividade moderada
2025,16,10,8,1,4,3,Atividade moderada
2025,28,118,51,41,47,9,Alta atividade
2025,36,101,46,34,42,6,Alta atividade
2025,21,99,42,32,46,10,Alta atividade
2023,27,106,43,36,41,9,Alta atividade
2023,33,106,49,33,42,10,Alta atividade
2023,20,84,41,23,39,11,Alta atividade
2024,30,2,1,0,1,0,Baixa atividade
2024,48,127,40,44,45,11,Alta atividade
2024,32,11,7,2,0,2,Atividade moderada
2024,41,48,32,7,36,3,Alta atividade
2024,40,3,3,2,0,1,Baixa atividade
2022,13,27,9,2,10,4,Alta atividade
2026,27,3,1,0,0,3,Baixa atividade
2025,12,52,34,1,41,8,Alta atividade
2025,39,102,46,36,41,7,Alta atividade
2025,49,116,44,36,46,11,Alta atividade
2023,44,58,37,10,32,5,Alta atividade
2023,9,9,5,0,4,5,Atividade moderada
2023,2,1,1,0,0,1,Baixa atividade
2024,24,114,47,45,41,7,Alta atividade
2024,49,131,39,39,66,11,Alta atividade
2024,44,74,36,14,48,5,Alta atividade
2022,50,76,38,16,39,8,Alta atividade
2022,43,12,10,3,7,1,Atividade moderada
2025,17,59,33,10,38,8,Alta atividade
2025,26,25,12,7,1,3,Alta atividade
2023,32,101,50,31,45,9,Alta atividade
2023,11,46,34,2,32,9,Alta atividade
2023,26,57,25,25,16,7,Alta atividade
2024,28,119,43,44,45,6,Alta atividade
2022,23,91,37,31,42,6,Alta atividade
2022,36,4,3,0,2,1,Baixa atividade
2022,40,7,5,0,6,1,Atividade moderada
2022,35,30,16,6,16,6,Alta atividade
2022,5,8,5,2,2,4,Atividade moderada
2026,12,79,39,19,42,10,Alta atividade
2026,18,95,44,20,48,8,Alta atividade
2025,40,111,45,37,44,9,Alta atividade
2025,30,6,3,0,2,0,Atividade moderada
2023,28,53,35,14,29,4,Alta atividade
2023,16,71,39,20,43,5,Alta atividade
2023,21,96,44,27,42,7,Alta atividade
2023,34,120,50,39,55,6,Alta atividade
2023,36,57,34,15,27,4,Alta atividade
2023,5,7,2,0,0,5,Atividade moderada
2024,21,102,42,38,38,11,Alta atividade
2024,42,34,21,4,24,4,Alta atividade
2022,12,27,12,3,8,5,Alta atividade
2022,10,26,12,3,10,4,Alta atividade
2022,7,15,7,3,6,4,Atividade moderada
2026,11,41,28,9,24,6,Alta atividade
2025,37,78,35,24,27,7,Alta atividade
2023,31,67,40,14,39,7,Alta atividade
2023,12,46,32,3,33,5,Alta atividade
2023,19,89,44,25,49,5,Alta atividade
2023,49,114,42,33,55,11,Alta atividade
2024,25,109,44,41,47,7,Alta atividade
2024,8,10,3,0,5,4,Atividade moderada
2026,15,86,44,25,44,6,Alta atividade
2025,20,26,14,13,5,6,Alta atividade
2025,22,111,45,31,50,11,Alta atividade
2025,41,110,43,41,42,5,Alta atividade
2025,31,2,1,0,0,0,Baixa atividade
2023,38,123,50,36,51,7,Alta atividade
2023,37,111,50,38,46,8,Alta atividade
2023,51,56,28,11,35,9,Alta atividade
2024,45,41,16,8,11,2,Alta atividade
2024,43,10,7,2,4,3,Atividade moderada
2025,13,57,36,3,37,8,Alta atividade
2025,34,104,41,28,53,7,Alta atividade
2025,15,65,35,7,47,7,Alta atividade
2025,5,2,1,0,1,1,Baixa atividade
2023,22,103,48,31,51,6,Alta atividade
2024,11,50,32,0,37,8,Alta atividade
2024,37,62,30,21,33,4,Alta atividade
2024,46,82,37,24,40,9,Alta atividade
2022,31,52,25,10,28,6,Alta atividade
2022,38,3,3,1,1,1,Baixa atividade
2022,22,88,38,27,40,6,Alta atividade
2022,41,11,5,0,6,2,Atividade moderada
2022,39,3,0,0,0,0,Baixa atividade
2025,33,106,42,33,40,9,Alta atividade
2025,11,18,4,2,3,7,Alta atividade
2023,43,111,43,35,46,7,Alta atividade
