frente_id_frente,frente_tx_titulo,part_sg_partido,qt_votacoes_analisadas,qt_deputados_frente,qt_votos_sim,qt_votos_nao,qt_abstencoes,qt_obstrucoes,qt_votos_validos,pc_convergencia_voto,tx_classificacao_convergencia
54451,Frente Parlamentar De Apoio Aos Conselhos Profissionais,REPUBLICANOS,1937,19,11369,7268,19,0,18927,92.35,Alta convergência
53988,Frente Parlamentar Em Defesa Da Vida E Da Família,REPUBLICANOS,1866,29,13421,8837,63,3,22376,95.71,Alta convergência
54208,Frente Parlamentar Do Terceiro Setor E Filantropia,PSD,1780,21,10124,7037,27,4,17251,84.25,Alta convergência
54522,Frente Parlamentar Mista Brasil - Itália,PL,2023,43,26123,20432,147,1637,48401,85.86,Alta convergência
54113,Frente Parlamentar Mista Em Defesa Da Pessoa Com Epilepsia,PSOL,1459,2,833,801,25,43,1702,95.71,Alta convergência
54342,Frente Parlamentar Para O Fortalecimento Da Mulher,MDB,1738,15,8824,5482,5,9,14322,86.86,Alta convergência
54216,Frente Parlamentar Mista Prosul,PSD,1756,21,9772,6862,53,7,16753,84.59,Alta convergência
54268,Frente Parlamentar Mista Em Defesa Das Cidades Históricas - Patrimônio Cultural Brasileiro,PSB,1819,22,7489,5126,22,272,12909,90.11,Alta convergência
54000,Frente Parlamentar Mista Da Educação,NOVO,1658,6,2256,2522,0,233,5019,94.68,Alta convergência
53969,Frente Parlamentar Mista Nacional Da Indústria - Fpi,AVANTE,1485,4,1648,1087,1,0,2736,89.33,Alta convergência
54153,Frente Parlamentar De Apoio Aos Conselhos Profissionais De Classe,REPUBLICANOS,1892,22,11471,7609,17,1,19150,94.96,Alta convergência
54340,Frente Parlamentar Mista Do Biodiesel - Fpbio,PP,1854,15,9284,6657,12,43,15998,82.62,Alta convergência
54036,Frente Parlamentar Mista Pela Conclusão Da Br 470 - Rio Grande Do Sul,PSD,1763,19,8524,5804,11,3,14397,86.31,Alta convergência
54424,Frente Parlamentar Em Defesa Dos Oficiais De Justiça,PL,2030,47,27223,21670,121,1942,51106,86.2,Alta convergência
54169,Frente Parlamentar Mista Em Apoio Ao Carvão Mineral,UNIÃO,1917,18,8604,6056,21,3,14707,87.21,Alta convergência
54027,Frente Parlamentar Em Defesa Dos Municípios Produtores De Petróleo,PSDB,1512,6,2102,1381,18,1,3519,86.87,Alta convergência
54556,"Frente Parlamentar Mista Pela Defesa Do Sistema De Proteção Social E Valorização Dos Agentes Comunitários De Saúde E Dos Agentes De Combate Às Endemias, Acs E Ace",MDB,1671,10,6979,4227,16,14,11238,88.86,Alta convergência
54315,Frente Parlamentar Mista Em Defesa Do Consumidor,PT,1944,15,11543,7947,41,340,19873,96.73,Alta convergência
54454,Frente Parlamentar Mista Em Defesa Dos Serviços De Saúde,PRD,1578,3,1863,1262,37,40,3202,85.45,Alta convergência
55704,Frente Parlamentar Mista De Telecomunicações E Soluções Digitais.,PSD,1863,16,10557,6853,30,24,17472,86.97,Alta convergência
54263,Frente Parlamentar Em Defesa Das Energias Renováveis - Fer,PSD,1764,19,8571,5661,21,4,14316,88.35,Alta convergência
54296,Frente Parlamentar Em Defesa Do Comércio E Serviços - Fcs,PSD,1842,18,10778,7002,40,3,17827,90.3,Alta convergência
54348,Frente Parlamentar Mista Da Agricultura Familiar,PL,2036,45,25943,20887,111,1890,48923,85.95,Alta convergência
55667,Frente Parlamentar De Representação Dos Importadores E Comércio Internacional,REPUBLICANOS,1999,25,15626,10156,39,64,25891,89.24,Alta convergência
53894,Frente Parlamentar Mista Do Esporte,PT,1897,10,6732,4804,25,267,11832,95.58,Alta convergência
55614,Frente Parlamentar Mista Em Defesa E Apoio Aos Despachantes Documentalistas Do Brasil,PP,1851,11,8263,5483,6,47,13799,88.09,Alta convergência
54200,Frente Parlamentar Mista Em Defesa Da Produção Cultural E Entretenimento,PSC,1411,6,1813,1329,3,0,3194,92.45,Alta convergência
54527,Frente Parlamentar Mista De Combate Ao Trabalho Infantil E De Estímulo À Aprendizagem,PSOL,2000,14,7935,7042,107,194,15278,96.51,Alta convergência
55650,Frente Parlamentar Em Defesa Das Bacias Hidrográficas Brasileiras,PCDOB,1915,7,5653,3867,9,106,9635,96.73,Alta convergência
54442,Frente Parlamentar De Prevenção De Desastres E Apoio Humanitário,UNIÃO,1960,18,11618,7614,33,3,19268,88.04,Alta convergência
54296,Frente Parlamentar Em Defesa Do Comércio E Serviços - Fcs,NOVO,1770,3,2155,2307,0,324,4794,92.68,Alta convergência
54500,Frente Parlamentar Em Defesa Do Sistema De Modelagem Da Informação Da Construção (fpbim),PL,2010,40,23584,18443,149,1498,43860,85.04,Alta convergência
55586,Frente Parlamentar Em Defesa Dos Conselheiros Tutelares,PL,2025,32,19493,15305,65,1266,36285,85.96,Alta convergência
54527,Frente Parlamentar Mista De Combate Ao Trabalho Infantil E De Estímulo À Aprendizagem,AVANTE,1653,4,2568,1706,18,2,4296,89.01,Alta convergência
54007,Frente Parlamentar Para O Desenvolvimento Sustentável Do Petróleo E Energias Renováveis - Freper,PSD,1655,13,4707,3203,34,2,8005,88.79,Alta convergência
54291,Frente Parlamentar Mista Em Defesa Do Saneamento Básico,NOVO,1622,2,1417,1454,0,202,3086,85.22,Alta convergência
54469,"Frente Parlamentar De Cuidado Das Mães De Crianças E Adolescentes Com Deficiência, Autismo E Doenças Raras",REPUBLICANOS,1954,21,12814,8284,34,65,21227,85.96,Alta convergência
54564,Frente Parlamentar Pela Defesa E Valorização Dos Profissionais De Segurança Pública E Da Segurança Privada,PRD,1337,2,1090,654,36,40,1820,87.97,Alta convergência
54487,Frente Parlamentar Em Defesa Do Samba E Valorização Do Carnaval Brasileiro,PSD,1866,12,6688,4649,29,54,11428,82.39,Alta convergência
54114,Frente Parlamentar Mista Brasil-áfrica Com Participação Popular De Enfrentamento Ao Racismo,REDE,1376,2,957,759,1,25,1742,97.24,Alta convergência
54264,Frente Parlamentar Mista Brasil Competitivo,SOLIDARIEDADE,1326,3,1165,706,5,0,1876,97.12,Alta convergência
54343,Frente Parlamentar Parlamentar Mista Da Agricultura Familiar E Desenvolvimento Rural Sustentável (fpaf),UNIÃO,1935,21,12639,8312,47,9,21007,87.58,Alta convergência
54021,Frente Parlamentar Mista Em Defesa Da Cultura E Do Desenvolvimento Social,PSD,1700,19,7630,5074,5,4,12772,86.8,Alta convergência
54343,Frente Parlamentar Parlamentar Mista Da Agricultura Familiar E Desenvolvimento Rural Sustentável (fpaf),PV,1835,5,3169,2231,2,18,5431,94.83,Alta convergência
54151,Frente Parlamentar Em Favor Do Pagamento Por Serviços Ambientais E Produção Sustentável,PSD,1697,22,7982,5608,6,7,13658,84.12,Alta convergência
54021,Frente Parlamentar Mista Em Defesa Da Cultura E Do Desenvolvimento Social,PROS,1346,3,1183,833,26,0,2042,87.37,Alta convergência
54229,Frente Parlamentar Mista Em Defesa Dos Povos E Comunidades Tradicionais Com Participação Popular,MDB,1780,10,4164,2905,18,2,7089,89.97,Alta convergência
54092,Frente Parlamentar Para A Liberdade Religiosa Do Congresso,PTB,541,3,711,577,0,0,1288,97.05,Alta convergência
54153,Frente Parlamentar De Apoio Aos Conselhos Profissionais De Classe,PP,1757,16,6127,4182,8,0,10904,88.86,Alta convergência
54239,Frente Parlamentar Em Apoio Ao Bambu - Frente Do Bambu,MDB,1798,15,7218,4730,23,11,12000,88.23,Alta convergência
54227,Frente Parlamentar Mista Em Defesa Da Democracia E Dos Direitos Humanos Com Participação Popular,PSOL,1860,7,4106,3681,91,170,8048,95.39,Alta convergência
54271,Frente Parlamentar Mista Do Empreendedorismo,PODE,771,4,1145,818,0,0,1964,94.81,Alta convergência
54559,Frente Parlamentar Mista Em Defesa Da Desoneração Da Folha De Pagamento,PRD,1513,3,1738,1122,36,40,2936,87.64,Alta convergência
54152,Frente Parlamentar Mista Em Defesa De Furnas,MDB,1855,28,12359,8079,38,19,20517,90.22,Alta convergência
54222,Frente Parlamentar Mista Em Defesa Da Eletronorte,PV,1666,3,1687,1159,2,25,2873,95.58,Alta convergência
54214,Frente Parlamentar Mista Em Defesa Da Vida Dos Agentes De Segurança Pública,PODE,1306,2,1165,649,1,0,1816,97.91,Alta convergência
55688,Frente Parlamentar Mista Em Defesa Das Universidades Públicas Estaduais E Municipais,PSDB,1515,4,2535,1507,4,0,4046,94.34,Alta convergência
54206,Frente Parlamentar Em Prol Da Iniciação Científica - Fpic,REPUBLICANOS,1746,22,10183,6681,15,4,17148,94.49,Alta convergência
54498,Frente Parlamentar Do Empreendedorismo Paulista,PT,1982,18,12660,8667,27,273,21650,96.85,Alta convergência
55598,Frente Parlamentar Em Prol Dos Jogos Eletrônicos E Games,PSDB,1748,9,5514,3775,23,105,9417,82.21,Alta convergência
54323,Frente Parlamentar Da Agropecuária - Fpa,MISSÃO,1372,1,676,689,6,1,1372,99.49,Alta convergência
53889,Frente Parlamentar Mista Em Defesa Dos Direitos Animais,PL,1899,23,12130,9122,62,761,22225,88.3,Alta convergência
53950,Frente Parlamentar Mista De Apoio A Produção E Industrialização De Pescado,REDE,453,1,253,190,0,10,453,97.79,Alta convergência
53937,Frente Parlamentar Mista De Infraestrutura Viária E Mobilidade Urbana,MDB,1677,16,7322,4754,26,12,12131,89.12,Alta convergência
53936,Frente Parlamentar Mista Para Investimentos Federais Na Educação,PP,1666,19,7766,5024,18,0,13398,91.34,Alta convergência
54504,Frente Parlamentar Mista Das Profissões Do Sistema Confea/crea E Mútua,PSDB,1629,7,4200,2816,24,56,7096,83.64,Alta convergência
54065,Frente Parlamentar Mista Em Defesa Das Universidades Comunitárias,AVANTE,1550,3,1666,1171,1,0,2838,82.98,Alta convergência
54027,Frente Parlamentar Em Defesa Dos Municípios Produtores De Petróleo,PCDOB,1660,2,1672,1114,5,39,2830,97.03,Alta convergência
54529,Frente Parlamentar Em Defesa Do Ciclista,MISSÃO,1372,1,676,689,6,1,1372,99.49,Alta convergência
54196,Frente Parlamentar Mista Pelo Pacto Nacional Contra As Fake News (divulgação De Notícias Falsas),PSDB,1611,5,3111,2080,20,6,5235,83.92,Alta convergência
54231,Frente Parlamentar Mista De Segurança Contra Incêndio,PT,1994,24,16484,11450,36,596,28618,96.14,Alta convergência
53921,Frente Parlamentar Em Defesa Da Pesca,PV,1616,3,1529,1044,1,14,2588,94.44,Alta convergência
53909,Frente Parlamentar De Doenças Raras,PSOL,1584,2,1266,1092,24,41,2423,96.16,Alta convergência
53888,Frente Parlamentar Mista Ética Contra A Corrupção - Fecc,SOLIDARIEDADE,1528,3,1720,996,4,0,2720,96.29,Alta convergência
55636,Frente Parlamentar Mista Para A Defesa E Valorização Das Polícias Institucionais,MISSÃO,1372,1,676,689,6,1,1372,99.49,Alta convergência
54154,Frente Parlamentar Mista Em Defesa Das Organizações Da Sociedade Civil - Oscs,PDT,1708,7,4226,2664,9,53,6963,95.48,Alta convergência
53920,"Frente Parlamentar Mista Em Defesa Das Apaes, Das Pestalozzis E De Entidades Coirmãs",PSDB,1606,5,2622,1767,11,6,4423,83.02,Alta convergência
54358,Frente Parlamentar Em Defesa Da Cadeia Produtiva Da Reciclagem No Brasil,PV,1618,2,1481,1054,1,7,2543,97.48,Alta convergência
55573,Frente Parlamentar Em Defesa Da Arte E Cultura Periférica,MDB,1698,9,4864,2981,3,7,7855,85.5,Alta convergência
54067,Frente Parlamentar Em Defesa Do Rio Jequitinhonha,PV,1606,2,1421,962,1,13,2397,96.7,Alta convergência
