dept_id_deputado,dept_tx_nome_parlamentar,part_sg_partido,uf_sg_uf,qt_frentes,qt_coordenacoes,qt_presidencias,ranking_frentes
178993,Carlos Henrique Gaguim,UNIÃO,TO,582,6,0,1
150418,Márcio Marinho,REPUBLICANOS,BA,504,5,0,2
178876,Célio Silveira,MDB,GO,480,2,0,3
74156,Leonardo Monteiro,PT,MG,479,8,0,4
204491,Gilberto Abramo,REPUBLICANOS,MG,473,1,0,5
73486,Pompeo De Mattos,PDT,RS,466,2,0,6
160640,Eros Biondini,PL,MG,451,1,0,7
178947,Sóstenes Cavalcante,PL,RJ,449,1,0,8
74585,Lincoln Portela,PL,MG,443,4,0,9
178857,Jorge Solla,PT,BA,432,1,0,10
178986,Nilto Tatto,PT,SP,431,2,0,11
160604,Pedro Uczai,PT,SC,431,3,0,12
69871,Bacelar,PV,BA,427,3,0,13
204572,Capitão Alberto Neto,PL,AM,425,3,0,14
160666,Félix Mendonça Júnior,PDT,BA,422,2,0,15
204480,Rogério Correia,PT,MG,415,2,0,16
204388,Bibo Nunes,PL,RS,412,2,0,17
160556,Padre João,PT,MG,411,1,0,18
160665,Augusto Coutinho,REPUBLICANOS,PE,410,2,0,19
74060,Daniel Almeida,PCDOB,BA,407,0,0,20
178934,Toninho Wandscheer,PP,PR,404,2,0,21
160758,Domingos Sávio,PL,MG,399,2,0,22
204573,Otto Alencar Filho,PSD,BA,397,0,0,23
133439,André Figueiredo,PDT,CE,397,3,0,24
178896,Newton Cardoso Jr,MDB,MG,391,2,0,25
204351,Dr. Luiz Ovando,PP,MS,387,1,0,26
160512,Aureo Ribeiro,SOLIDARIEDADE,RJ,386,1,0,27
162332,Luiz Nishimori,PSD,PR,383,2,0,28
136811,Afonso Hamm,PP,RS,381,2,0,29
74044,Wilson Santiago,REPUBLICANOS,PB,376,0,0,30
160575,Erika Kokay,PT,DF,375,10,0,31
160600,Arthur Oliveira Maia,UNIÃO,BA,373,0,0,32
204425,Silvio Costa Filho,REPUBLICANOS,PE,368,2,0,33
178997,Moses Rodrigues,UNIÃO,CE,368,0,0,34
73441,Celso Russomanno,REPUBLICANOS,SP,367,9,0,35
178881,Aluisio Mendes,REPUBLICANOS,MA,367,0,0,36
204361,Carlos Chiodini,MDB,SC,363,1,0,37
74160,Patrus Ananias,PT,MG,360,2,0,38
204355,Da Vitoria,PP,ES,358,2,0,39
204495,Airton Faleiro,PT,PA,358,1,0,40
178908,Delegado Éder Mauro,PL,PA,357,1,0,41
204406,Pedro Westphalen,PP,RS,356,6,0,42
178873,Helder Salomão,PT,ES,353,0,0,43
74371,Rubens Otoni,PT,GO,353,0,0,44
204423,André Ferreira,PL,PE,345,1,0,45
160610,Valmir Assunção,PT,BA,342,0,0,46
74161,Reginaldo Lopes,PT,MG,340,2,0,47
139285,Lídice Da Mata,PSB,BA,338,3,0,48
178962,Carlos Gomes,REPUBLICANOS,RS,336,2,0,49
74299,Leônidas Cristino,PDT,CE,335,3,0,50
204522,Marco Bertaiolli,PSD,SP,332,2,0,51
204456,Gutemberg Reis,MDB,RJ,331,2,0,52
160535,Marcon,PT,RS,330,0,0,53
178987,Orlando Silva,PCDOB,SP,328,0,0,54
204396,Vermelho,PL,PR,325,0,0,55
178931,Luciano Ducci,PSB,PR,324,0,0,56
204497,Júnior Ferrari,PSD,PA,324,2,0,57
178970,João Daniel,PT,SE,323,0,0,58
74283,Vicentinho,PT,SP,322,2,0,59
161550,Emidinho Madeira,PL,MG,322,4,0,60
74273,Jefferson Campos,PL,SP,321,0,0,61
160559,Alceu Moreira,MDB,RS,319,1,0,62
204517,Zé Vitor,PL,MG,317,2,0,63
160673,Giovani Cherini,PL,RS,315,6,0,64
204488,Célio Studart,PSD,CE,314,3,0,65
204372,Julio Cesar Ribeiro,REPUBLICANOS,DF,313,7,0,66
178927,Aliel Machado,PV,PR,310,1,0,67
204492,Paulo Guedes,PT,MG,310,3,0,68
204416,Sanderson,PL,RS,309,2,0,69
74467,Damião Feliciano,UNIÃO,PB,308,2,0,70
74554,José Rocha,UNIÃO,BA,308,4,0,71
143632,Domingos Neto,PSD,CE,308,0,0,72
204501,Alencar Santana,PT,SP,306,1,0,73
220648,Marangoni,PODE,SP,305,4,0,74
