dept_id_deputado,dept_tx_nome_parlamentar,part_sg_partido,uf_sg_uf,qt_frentes_saude,qt_frentes_educacao,qt_frentes_seguranca,qt_frentes_agro,qt_frentes_mulher,qt_frentes_meio_ambiente,qt_total_frentes
74299,Leônidas Cristino,PDT,CE,16,11,6,5,1,7,335
74060,Daniel Almeida,PCDOB,BA,14,12,7,9,2,10,407
204453,Natália Bonavides,PT,RN,6,9,3,4,1,7,226
141513,Bilac Pinto,UNIÃO,MG,8,4,7,5,1,4,186
204479,Nicoletti,UNIÃO,RR,2,4,4,3,1,3,120
90201,Pedro Augusto Bezerra,PDT,CE,11,5,6,4,1,7,227
204518,Dr. Frederico,PATRIOTA,MG,13,4,6,5,1,6,232
204490,Charlles Evangelista,PP,MG,7,1,5,1,0,5,151
141518,Paulinho Da Força,SOLIDARIEDADE,SP,6,1,2,2,0,2,96
178895,Misael Varella,PSD,MG,14,5,5,6,1,5,220
74052,Bosco Costa,PL,SE,10,4,7,2,1,9,248
74749,Mauro Lopes,PP,MG,7,7,6,4,1,5,245
74585,Lincoln Portela,PL,MG,23,13,13,9,5,11,443
73891,Darcísio Perondi,MDB,RS,4,3,3,1,0,2,99
204491,Gilberto Abramo,REPUBLICANOS,MG,22,10,11,6,6,13,473
73466,Rubens Bueno,CIDADANIA,PR,8,4,3,2,1,5,186
178969,Fábio Mitidieri,PSD,SE,11,6,6,5,0,6,208
204377,Paula Belmonte,CIDADANIA,DF,4,4,2,2,2,6,125
141450,Hugo Leal,PSD,RJ,13,5,7,4,1,10,268
178879,Lucas Vergilio,SOLIDARIEDADE,GO,10,4,5,2,0,5,146
160569,Waldenor Pereira,PT,BA,11,8,6,6,1,7,268
146788,Marcelo Aro,PP,MG,0,1,0,1,1,0,28
204569,Delegado Pablo,UNIÃO,AM,2,1,4,1,1,0,87
73531,Ivan Valente,PSOL,SP,2,3,3,3,1,4,121
205863,Marcelo Brum,REPUBLICANOS,RS,1,1,0,1,0,0,37
160635,Ruy Carneiro,PSC,PB,10,6,6,6,1,8,246
204359,Léo Moraes,PODE,RO,3,1,2,1,1,3,109
194260,Nivaldo Albuquerque,REPUBLICANOS,AL,8,8,2,3,1,6,193
178835,Afonso Motta,PDT,RS,12,2,3,4,6,7,248
69871,Bacelar,PV,BA,20,13,9,8,4,9,427
178970,João Daniel,PT,SE,14,10,5,6,2,10,323
204441,Otoni De Paula,MDB,RJ,12,8,5,3,1,7,231
74784,Luiza Erundina,PSOL,SP,3,4,2,2,2,5,135
141428,Fábio Faria,PP,RN,6,1,4,4,0,4,135
204379,Acácio Favacho,MDB,AP,10,3,5,5,3,6,207
204487,Capitão Wagner,UNIÃO,CE,7,6,6,4,2,3,226
141508,Mauro Nazif,PSB,RO,9,7,4,5,2,5,248
74161,Reginaldo Lopes,PT,MG,18,12,6,6,2,9,340
197438,Tito,AVANTE,BA,10,5,6,4,1,9,245
204396,Vermelho,PL,PR,15,8,10,5,1,7,325
204460,Carlos Jordy,PL,RJ,5,2,9,2,1,4,185
204541,Eduardo Bismarck,PDT,CE,8,3,3,1,0,4,168
160528,Danilo Cabral,PSB,PE,9,4,5,4,1,7,176
204440,Christino Aureo,PP,RJ,7,2,5,5,2,2,122
206231,Ted Conti,PSB,ES,4,6,2,2,0,2,124
204477,Felício Laterça,PP,RJ,3,1,2,2,0,3,72
204546,Joice Hasselmann,PSDB,SP,1,2,2,1,1,1,68
204374,Bia Kicis,PL,DF,15,5,8,6,4,4,252
74165,Neucimar Fraga,PP,ES,0,0,0,0,0,0,3
204555,José Ricardo,PT,AM,5,4,4,1,1,5,154
74200,Gastão Vieira,PROS,MA,6,2,1,2,0,4,141
204474,Juarez Costa,MDB,MT,6,5,3,4,0,5,189
204371,Felipe Rigoni,UNIÃO,ES,2,3,0,1,0,3,68
73460,Gustavo Fruet,PDT,PR,2,2,0,1,0,2,64
204419,Glaustin Da Fokus,PSC,GO,0,2,2,1,1,0,51
211866,Fabiano Tolentino,CIDADANIA,MG,0,1,0,1,0,1,27
215044,Vivi Reis,PSOL,PA,0,1,0,0,0,0,9
219592,Lucas Follador,PSC,RO,0,0,0,1,0,0,4
216313,Rafafá,PSDB,PB,0,1,0,0,0,0,1
160542,Márcio Macêdo,PT,SE,0,0,0,0,0,0,1
204450,Doutor Luizinho,PP,RJ,6,2,3,1,1,3,129
204439,Dr. Leonardo,REPUBLICANOS,MT,11,7,7,5,1,9,283
74419,Gonzaga Patriota,PSB,PE,12,7,4,4,2,6,262
178884,Hildo Rocha,MDB,MA,8,2,3,3,1,3,177
76874,Marcelo Freixo,PSB,RJ,2,3,2,0,1,3,55
166402,Magda Mofatto,PL,GO,7,4,4,5,3,4,132
74075,Elcione Barbalho,MDB,PA,8,5,3,7,4,5,176
73801,Renildo Calheiros,PCDOB,PE,8,6,3,5,4,9,291
204444,Helio Lopes,PL,RJ,10,5,9,3,1,4,224
198783,Emanuel Pinheiro Neto,MDB,MT,9,5,7,4,0,5,202
178876,Célio Silveira,MDB,GO,27,11,13,9,6,12,480
204471,Mara Rocha,MDB,AC,6,6,3,2,2,4,163
146307,Neri Geller,PP,MT,11,1,0,4,1,3,150
141516,Paulo Abi-ackel,PSDB,MG,3,3,4,1,0,5,144
204363,Osires Damaso,PSC,TO,2,3,1,3,0,2,76
204506,Marcos Pereira,REPUBLICANOS,SP,7,1,3,2,2,5,151
204426,Carlos Veras,PT,PE,8,8,5,3,2,7,294
160674,Hugo Motta,REPUBLICANOS,PB,10,7,4,3,2,8,213
74467,Damião Feliciano,UNIÃO,PB,13,6,6,5,1,10,308
204457,Juninho Do Pneu,UNIÃO,RJ,3,4,2,1,0,2,77
178931,Luciano Ducci,PSB,PR,15,10,3,10,6,10,324
205548,David Miranda,PDT,RJ,0,2,1,0,0,1,42
204397,Boca Aberta,PROS,PR,6,4,6,5,2,7,225
204489,Robério Monteiro,PDT,CE,2,2,3,0,0,2,88
141401,Carlos Bezerra,MDB,MT,0,0,0,0,0,1,10
129618,Gorete Pereira,PL,CE,0,0,0,0,0,0,1
215045,Pedro Augusto Palareti,PP,RJ,0,0,0,0,0,0,2
178956,Mariana Carvalho,REPUBLICANOS,RO,5,4,4,3,0,6,176
204392,Francisco Jr.,PSD,GO,11,6,6,5,1,5,239
178839,Jéssica Sales,MDB,AC,7,3,3,4,0,4,170
204446,Professor Joziel,PATRIOTA,RJ,8,5,4,5,1,5,185
178977,Eduardo Cury,PSDB,SP,4,0,2,0,0,2,59
178858,Mário Negromonte Jr.,PP,BA,8,5,5,4,1,3,213
141391,Arnaldo Jardim,CIDADANIA,SP,10,4,4,5,2,11,244
122974,Pedro Lucas Fernandes,UNIÃO,MA,11,7,8,6,5,7,285
135054,Cristiano Vale,PP,PA,9,6,7,5,2,8,257
141553,Vanderlei Macris,PSDB,SP,9,5,6,4,1,6,224
204572,Capitão Alberto Neto,PL,AM,21,8,13,8,4,10,425
204576,João Roma,PL,BA,14,9,4,5,2,9,261
209189,Joseildo Ramos,PT,BA,3,2,1,1,1,4,146
