frente_id_frente,frente_tx_titulo,qt_total_deputados,qt_total_partidos,indice_hhi_partidario,frente_tx_classificacao_diversidade
54158,Frente Parlamentar Em Defesa Do Patrimônio Histórico Nacional,224,22,0.0843,Alta diversidade partidária
54125,Frente Parlamentar Em Defesa Da Companhia Hidro Elétrica Do São Francisco (chesf),216,22,0.0891,Alta diversidade partidária
54114,Frente Parlamentar Mista Brasil-áfrica Com Participação Popular De Enfrentamento Ao Racismo,203,22,0.1067,Alta diversidade partidária
54488,Frente Parlamentar Mista Em Apoio Aos Consórcios Públicos,204,21,0.0966,Alta diversidade partidária
54211,Frente Parlamentar Em Prol Dos Jogos Eletrônicos E Games,201,20,0.0981,Alta diversidade partidária
54238,Frente Parlamentar Mista Da Inteligência Artificial,210,23,0.077,Alta diversidade partidária
54094,Frente Parlamentar Mista Em Defesa Da Saúde Nutricional Suplementar,223,22,0.0945,Alta diversidade partidária
54203,Frente Parlamentar Pela Valorização Do Setor Sucroenergético,214,21,0.0871,Alta diversidade partidária
54324,Frente Parlamentar Pelos Pequenos E Médios Municípios,210,19,0.0903,Alta diversidade partidária
54376,Frente Parlamentar Mista Em Defesa Do Comércio Internacional E Do Investimento - Frencomex,200,19,0.1087,Alta diversidade partidária
53911,Frente Parlamentar Mista Em Defesa Da Cadeia Produtiva Da Reciclagem No Brasil,228,22,0.0932,Alta diversidade partidária
54111,Frente Parlamentar Mista Pela Inovação Na Bioeconomia - Fpbioeconomia,210,22,0.0876,Alta diversidade partidária
53951,Frente Parlamentar Em Defesa Do Transporte Aéreo Nacional,205,20,0.0949,Alta diversidade partidária
54517,Frente Parlamentar Mista Em Defesa Dos Saberes Tradicionais E Das Práticas Integrativas E Complementares Em Saúde No Sus,192,21,0.1482,Alta diversidade partidária
55572,Frente Parlamentar Mista Da Mulher Catadora,200,21,0.0938,Alta diversidade partidária
54186,Frente Parlamentar Mista De Promoção E Defesa Dos Direitos Da Criança E Adolescente,202,22,0.0984,Alta diversidade partidária
54160,Frente Parlamentar Mista Em Defesa Do Comércio Internacional E Do Investimento - Frencomex,210,22,0.0955,Alta diversidade partidária
54193,Frente Parlamentar Mista Para O Desenvolvimento Da Indústria Elétrica E Eletrônica,235,22,0.0861,Alta diversidade partidária
53941,"Frente Parlamentar Mista Da Engenharia, Infraestrutura E Desenvolvimento Nacional",199,21,0.088,Alta diversidade partidária
54161,Frente Parlamentar Mista Em Defesa Da Propriedade Intelectual E De Combate À Pirataria,220,21,0.0849,Alta diversidade partidária
53904,Frente Parlamentar Mista Em Prol Da Luta Contra O Câncer,223,22,0.0921,Alta diversidade partidária
54559,Frente Parlamentar Mista Em Defesa Da Desoneração Da Folha De Pagamento,201,20,0.1113,Alta diversidade partidária
54431,Frente Parlamentar Em Defesa Do Pantanal,200,20,0.1285,Alta diversidade partidária
54207,Frente Parlamentar Mista De Assistência Técnica E Extensão Rural (frente De Ater),225,20,0.0871,Alta diversidade partidária
54565,Frente Parlamentar Do Etanol,193,20,0.1155,Alta diversidade partidária
55567,Frente Parlamentar Mista Da Indústria De Máquinas E Equipamentos - Fpmaq,206,20,0.1085,Alta diversidade partidária
54091,Frente Parlamentar Da Indústria De Máquinas E Equipamentos - Fpmaq,220,22,0.0958,Alta diversidade partidária
54296,Frente Parlamentar Em Defesa Do Comércio E Serviços - Fcs,189,19,0.136,Alta diversidade partidária
55582,Frente Parlamentar Mista Em Defesa Do Sistema Nacional De Auditoria Do Sus,201,21,0.1391,Alta diversidade partidária
53892,Frente Parlamentar Mista Em Defesa Dos Direitos Dos Animais,199,21,0.0878,Alta diversidade partidária
54357,Frente Parlamentar De Proteção Às Pessoas Com Transtorno Do Espectro Autista,219,20,0.0997,Alta diversidade partidária
53982,Frente Parlamentar Mista Da Juventude,197,23,0.0919,Alta diversidade partidária
54215,Frente Parlamentar Em Defesa Dos Municípios Em Risco De Extinção,212,21,0.0905,Alta diversidade partidária
55655,Frente Parlamentar Brasil - Asean,201,21,0.091,Alta diversidade partidária
54365,Frente Parlamentar Mista Em Apoio Ao Programa Antártico Brasileiro,198,21,0.1125,Alta diversidade partidária
54440,Frente Parlamentar Mista Em Defesa Das Práticas Integrativas E Complementares Em Saúde E Da Felicidade – Frente Holística,199,18,0.1446,Alta diversidade partidária
54371,Frente Parlamentar Brasil Singapura,199,17,0.1122,Alta diversidade partidária
54102,Frente Parlamentar Mista Em Defesa Da Tradição E Cultura Gaúcha,198,23,0.0924,Alta diversidade partidária
54074,Frente Parlamentar Mista Em Defesa Dos Municípios Sedes De Usinas Hidroelétricas E Alagados,272,22,0.0853,Alta diversidade partidária
54386,Frente Parlamentar Mista Dos Lojistas E Lojistas De Shoppings Centers,201,20,0.1028,Alta diversidade partidária
54014,Frente Parlamentar Mista Da Beleza E Bem Estar,200,21,0.0883,Alta diversidade partidária
53953,Frente Parlamentar Mista Em Defesa Dos Municípios Brasileiros - Fmb,311,23,0.0882,Alta diversidade partidária
54283,Frente Parlamentar Mista Em Defesa Do Turismo - Frentur,200,20,0.0983,Alta diversidade partidária
54450,Frente Parlamentar Da Vacina - Fpv,194,21,0.0857,Alta diversidade partidária
54146,Frente Parlamentar De Apoio Às Operações Especiais Das Forças Armadas E Das Forças De Segurança Pública (frepoesp),204,19,0.1084,Alta diversidade partidária
55601,Frente Parlamentar Mista Em Defesa Da Propriedade Intelectual E Combate À Pirataria,187,19,0.1101,Alta diversidade partidária
54280,Frente Parlamentar Em Defesa Dos Técnicos Agrícolas,205,20,0.0996,Alta diversidade partidária
54475,Frente Parlamentar Em Defesa E Proteção Das Crianças E Adolescentes Durante As Festas Populares E Grandes Eventos,198,20,0.0978,Alta diversidade partidária
54525,Frente Parlamentar Das Cooperativas De Transportes Rodoviário De Cargas - Frecooptrc,180,16,0.1999,Média diversidade partidária
54502,Frente Parlamentar Mista Em Defesa Da Tradição E Cultura Gaúcha,200,19,0.1162,Alta diversidade partidária
54256,Frente Parlamentar Em Defesa Do Comércio De Material De Construção,218,21,0.0931,Alta diversidade partidária
54099,Frente Parlamentar Mista Em Defesa Da Enfermagem,199,23,0.0799,Alta diversidade partidária
54083,Frente Parlamentar Em Defesa Das Guardas Municipais,225,21,0.0874,Alta diversidade partidária
54162,Frente Parlamentar Da Optometria,220,22,0.0885,Alta diversidade partidária
53901,Frente Parlamentar Em Defesa Do Esporte,203,21,0.0846,Alta diversidade partidária
54173,Frente Parlamentar Em Defesa Dos Trabalhadores Em Transporte Público,209,22,0.0924,Alta diversidade partidária
54079,Frente Parlamentar Mista De Apoio Aos Despachantes Documentalistas Do Brasil,205,20,0.0929,Alta diversidade partidária
54330,Frente Parlamentar Em Defesa Da Polícia Federal,205,20,0.1128,Alta diversidade partidária
54511,Frente Parlamentar Mista Em Apoio Às Rádios Comunitárias,208,20,0.0998,Alta diversidade partidária
55622,Frente Parlamentar Em Defesa Do Benefício De Prestação Continuada (bpc),200,18,0.1017,Alta diversidade partidária
54553,Frente Parlamentar Mista Em Defesa Do Patrimônio Histórico E Cultural Brasileiro,201,19,0.0888,Alta diversidade partidária
54523,Frente Parlamentar Mista Da Optometria,221,20,0.1012,Alta diversidade partidária
55606,Frente Parlamentar Em Defesa Da Polícia Penal,200,17,0.1811,Média diversidade partidária
53965,Frente Parlamentar Mista Brasil -tailândia,204,21,0.0886,Alta diversidade partidária
54381,Frente Parlamentar Em Defesa Do Fomento Ao Empreendedorismo Da Juventude,201,20,0.0973,Alta diversidade partidária
54293,Frente Parlamentar Mista Dos Portos Nacionais,202,21,0.1684,Média diversidade partidária
54391,Frente Parlamentar De Infraestrutura Logística,202,19,0.1447,Alta diversidade partidária
55708,Frente Parlamentar Mista Em Defesa Da Cannabis Medicinal E Do Cânhamo Industrial,196,20,0.1024,Alta diversidade partidária
54505,Frente Parlamentar Em Defesa Das Favelas E Respeito À Cidadania Dos Seus Moradores,201,20,0.1359,Alta diversidade partidária
55687,Frente Parlamentar Mista Pelo Fortalecimento Das Entidades Fechadas De Previdência Complementar (efpc),198,20,0.1434,Alta diversidade partidária
55695,Frente Parlamentar Pela Duplicação Da Br-290,200,19,0.1004,Alta diversidade partidária
54126,Frente Parlamentar Mista Em Defesa Da Distribuição De Veículos Automotores E A Mobilidade - Fremob,227,20,0.0861,Alta diversidade partidária
54377,Frente Parlamentar Mista Da Educação,218,20,0.0831,Alta diversidade partidária
