part_sg_partido,qt_deputados,qt_frentes,qt_frentes_saude,qt_frentes_educacao,qt_frentes_seguranca,qt_frentes_agro,qt_frentes_mulher,qt_frentes_meio_ambiente
CIDADANIA,7,435,39,25,20,15,8,38
SOLIDARIEDADE,14,654,98,47,42,37,20,53
PCDOB,11,600,84,59,31,32,17,59
PATRIOTA,5,345,52,29,27,17,5,30
PROS,7,348,46,28,25,25,6,29
PV,8,622,71,37,35,21,14,41
UNIÃO,105,669,597,290,344,294,172,351
REPUBLICANOS,84,669,621,309,295,257,198,381
NOVO,10,483,46,29,22,20,12,23
PDT,27,668,208,118,90,78,55,127
PRD,5,293,40,11,12,17,14,10
S.PART.,1,192,5,1,5,4,5,5
MDB,74,669,455,190,206,200,113,238
AVANTE,11,647,76,37,44,28,18,43
MISSÃO,1,206,9,4,6,4,4,5
PT,88,659,739,464,264,291,151,463
PSC,11,349,47,31,29,23,5,33
REDE,6,264,14,8,3,2,6,13
PSD,85,669,596,278,281,262,144,338
PSDB,44,668,178,82,97,83,49,111
PTB,4,328,30,20,20,11,6,16
PSB,39,668,281,169,97,103,78,167
PODE,41,664,189,80,90,75,69,99
PP,101,669,620,305,301,286,156,337
PL,145,669,993,479,619,440,265,508
PSOL,17,548,87,63,32,29,28,66
