part_sg_partido,qt_deputados,qt_despesas,vl_total_liquido,qt_votacoes,qt_frentes,vl_media_eficiencia,pc_media_documentacao,pc_media_participacao_decisiva,score_medio_engajamento,qt_presidentes_frente,qt_coordenadores_frente,qt_vice_frente,tx_classificacao_engajamento,tx_classificacao_participacao
SOLIDARIEDADE,15,6471,11130522.21,6473,1917,2.10067333,65.12733333333333,98.90999999999998,38.461333,0,4,0,Partido pouco engajado,Alta participação decisiva
PROS,6,857,1603437.51,1245,840,6.17790000,65.87,99.8575,24.958333,0,0,0,Partido pouco engajado,Alta participação decisiva
PSC,6,1940,1712080.55,1811,495,3.47835000,63.38,99.81666666666666,33.778333,0,0,0,Partido pouco engajado,Alta participação decisiva
PRD,6,6248,8415041.66,3994,1510,1.76796667,80.99666666666667,98.855,52.028333,0,4,0,Partido moderadamente engajado,Alta participação decisiva
PDT,24,18461,25215137.17,15874,4412,2.38290000,67.66772727272729,99.13681818181817,48.517917,0,12,0,Partido moderadamente engajado,Alta participação decisiva
PT,94,142994,132716182.63,85514,17042,2.03176111,75.99155555555555,98.02678160919538,58.035106,0,44,0,Partido moderadamente engajado,Alta participação decisiva
AVANTE,10,7760,9822817.73,6923,1336,6.07382222,75.73222222222222,99.79888888888888,48.207000,0,3,0,Partido moderadamente engajado,Alta participação decisiva
MDB,71,51100,75577231.25,43485,9291,1.98726429,69.13971428571426,99.46691176470588,46.135352,0,20,0,Partido moderadamente engajado,Alta participação decisiva
PL,134,151550,176522597.66,117868,22177,2.25934848,71.57174242424242,95.80106060606062,57.193209,0,54,0,Partido moderadamente engajado,Alta participação decisiva
PV,8,9224,10976776.28,6964,1701,2.26158750,78.9425,99.155,59.007500,0,4,0,Partido moderadamente engajado,Alta participação decisiva
REPUBLICANOS,83,62327,87649698.97,55811,13995,2.89645316,72.10708860759495,99.005625,49.462169,0,29,0,Partido moderadamente engajado,Alta participação decisiva
MISSÃO,1,737,910248.96,1373,364,5.52380000,12.21,99.49,82.430000,0,1,0,Partido altamente engajado,Alta participação decisiva
NOVO,10,7579,6447405.97,9489,1302,6.86264000,71.815,95.968,59.285000,0,7,0,Partido moderadamente engajado,Alta participação decisiva
CIDADANIA,7,4817,4939573.55,3736,1012,2.84520000,62.89333333333334,99.08285714285715,44.205714,0,3,0,Partido moderadamente engajado,Alta participação decisiva
PSB,41,29107,34843870.72,23328,6286,3.55677297,73.52027027027029,97.83171428571428,42.682927,0,16,0,Partido moderadamente engajado,Alta participação decisiva
REDE,8,3325,5234945.72,3386,560,1549.77521250,79.60499999999999,98.02875,37.793750,0,2,0,Partido pouco engajado,Alta participação decisiva
PSOL,18,23934,22764377.99,16167,2134,1.54199375,69.91187500000001,98.08411764705885,56.353889,0,7,0,Partido moderadamente engajado,Alta participação decisiva
PATRIOTA,2,780,941991.24,808,360,4.69445000,90.6,100.0,40.285000,0,1,0,Partido moderadamente engajado,Alta participação decisiva
PTB,5,1111,1502024.75,1288,685,3.26632500,49.735,100.0,25.506000,0,2,0,Partido pouco engajado,Alta participação decisiva
PSD,86,78385,96870347.87,57511,14061,2.44597229,68.4197590361446,99.2672839506173,48.802442,0,31,0,Partido moderadamente engajado,Alta participação decisiva
PP,97,81169,101426794.68,61909,13103,12.75730947,70.92494736842104,98.71870967741934,47.118557,0,32,0,Partido moderadamente engajado,Alta participação decisiva
PCDOB,13,12037,17633826.97,12541,2197,1.81305000,69.91083333333333,98.5425,59.894615,0,4,0,Partido moderadamente engajado,Alta participação decisiva
PODE,44,27194,44418617.91,25846,5000,3.95277381,72.21809523809523,99.39205128205128,43.284545,0,9,0,Partido moderadamente engajado,Alta participação decisiva
PSDB,38,23057,33459428.70,21592,4091,2.37417714,68.7742857142857,99.00058823529412,42.486316,0,10,0,Partido moderadamente engajado,Alta participação decisiva
S.PART.,1,325,837924.75,652,449,6.13660000,72.31,100.0,56.820000,0,0,0,Partido moderadamente engajado,Alta participação decisiva
UNIÃO,94,73326,109500727.76,63535,13931,3.66077253,69.51835164835164,99.78977528089888,48.881809,0,32,0,Partido moderadamente engajado,Alta participação decisiva
