id_deputado,dept_tx_nome_parlamentar,part_sg_partido,uf_sg_uf,qt_votacoes,qt_ausencias,pc_ausencia
178943,Marcos Soares,UNIÃO,RJ,672,1,0.15
204398,Felipe Francischini,UNIÃO,PR,1410,1,0.07
204570,Pastor Gil,PL,MA,976,1,0.1
178844,Pedro Vilela,PSDB,AL,371,0,0.0
178862,Tia Eron,REPUBLICANOS,BA,125,0,0.0
178993,Carlos Henrique Gaguim,UNIÃO,TO,1287,1,0.08
204398,Felipe Francischini,,PR,50,0,0.0
178993,Carlos Henrique Gaguim,REPUBLICANOS,TO,60,0,0.0
178943,Marcos Soares,,RJ,34,0,0.0
178993,Carlos Henrique Gaguim,,TO,52,0,0.0
204455,Luiz Lima,PL,RJ,1023,0,0.0
141553,Vanderlei Macris,PSDB,SP,392,0,0.0
204455,Luiz Lima,,RJ,56,0,0.0
204386,Jose Mario Schreiner,MDB,GO,315,0,0.0
204455,Luiz Lima,UNIÃO,RJ,19,0,0.0
204386,Jose Mario Schreiner,UNIÃO,GO,92,0,0.0
204386,Jose Mario Schreiner,,GO,54,0,0.0
204455,Luiz Lima,S.PART.,RJ,4,0,0.0
204363,Osires Damaso,PSC,TO,333,0,0.0
204549,Aj Albuquerque,PP,CE,1156,1,0.09
74273,Jefferson Campos,PL,SP,1312,1,0.08
204503,Alexandre Padilha,PT,SP,454,0,0.0
141434,Flaviano Melo,MDB,AC,399,0,0.0
204389,Elias Vaz,PSB,GO,418,0,0.0
204569,Delegado Pablo,,AM,40,0,0.0
204569,Delegado Pablo,UNIÃO,AM,302,0,0.0
160639,Professora Dorinha Seabra Rezende,UNIÃO,TO,255,0,0.0
160639,Professora Dorinha Seabra Rezende,,TO,39,0,0.0
74273,Jefferson Campos,PSB,SP,109,0,0.0
122466,Ronaldo Martins,REPUBLICANOS,CE,38,0,0.0
133439,André Figueiredo,PDT,CE,1357,1,0.07
160587,Fábio Trad,PSD,MS,422,0,0.0
178909,Hélio Leite,UNIÃO,PA,590,0,0.0
122158,Pedro Paulo,PSD,RJ,830,0,0.0
178909,Hélio Leite,,PA,41,0,0.0
141421,Eduardo Da Fonte,PP,PE,1267,1,0.08
204507,Carla Zambelli,PL,SP,917,0,0.0
204479,Nicoletti,UNIÃO,RR,1336,1,0.07
178884,Hildo Rocha,MDB,MA,1026,1,0.1
204479,Nicoletti,,RR,56,0,0.0
74075,Elcione Barbalho,MDB,PA,893,0,0.0
204507,Carla Zambelli,UNIÃO,SP,47,0,0.0
204507,Carla Zambelli,,SP,55,0,0.0
204409,Daniel Trzeciak,PSDB,RS,1297,1,0.08
204431,Marcos Aurélio Sampaio,PSD,PI,1151,1,0.09
178933,Sergio Souza,MDB,PR,1254,1,0.08
204412,Dr. Zacharias Calil,UNIÃO,GO,1346,0,0.0
204431,Marcos Aurélio Sampaio,MDB,PI,149,0,0.0
204412,Dr. Zacharias Calil,,GO,52,0,0.0
73531,Ivan Valente,PSOL,SP,1412,1,0.07
204434,Dra. Vanda Milani,SOLIDARIEDADE,AC,127,0,0.0
204434,Dra. Vanda Milani,PROS,AC,232,0,0.0
204368,Fabio Schiochet,UNIÃO,SC,1385,1,0.07
178928,Christiane De Souza Yared,PP,PR,332,0,0.0
178836,Alan Rick,UNIÃO,AC,315,0,0.0
178836,Alan Rick,,AC,54,0,0.0
178928,Christiane De Souza Yared,PL,PR,111,0,0.0
204368,Fabio Schiochet,,SC,51,0,0.0
204531,Guilherme Derrite,PP,SP,197,0,0.0
74317,Júlio Cesar,PSD,PI,1134,1,0.09
204528,Adriana Ventura,NOVO,SP,1514,1,0.07
204531,Guilherme Derrite,PL,SP,312,0,0.0
218879,Nelho Bezerra,UNIÃO,CE,173,0,0.0
218879,Nelho Bezerra,PROS,CE,43,0,0.0
143084,Tiago Dimas,SOLIDARIEDADE,TO,134,0,0.0
74419,Gonzaga Patriota,PSB,PE,406,0,0.0
214865,Joceval Rodrigues,CIDADANIA,BA,65,0,0.0
92172,Milton Coelho,PSB,PE,296,0,0.0
143084,Tiago Dimas,PODE,TO,584,1,0.17
178935,Rossoni,PSDB,PR,150,0,0.0
73801,Renildo Calheiros,PCDOB,PE,1423,1,0.07
133810,Marcelo Moraes,PL,RS,1107,0,0.0
204572,Capitão Alberto Neto,PL,AM,1349,0,0.0
73604,Rui Falcão,PT,SP,1454,1,0.07
204419,Glaustin Da Fokus,PSC,GO,396,0,0.0
204572,Capitão Alberto Neto,REPUBLICANOS,AM,67,0,0.0
133810,Marcelo Moraes,PTB,RS,59,0,0.0
152605,Glauber Braga,PSOL,RJ,1263,1,0.08
178964,Heitor Schuch,PSB,RS,930,0,0.0
219585,Marco Brasil,PP,PR,612,0,0.0
141488,Paulo Teixeira,PT,SP,449,0,0.0
178922,Tadeu Alencar,PSB,PE,406,0,0.0
204462,Chris Tonietto,PL,RJ,1414,0,0.0
215043,Josivaldo Jp,PSD,MA,1129,0,0.0
215043,Josivaldo Jp,PODE,MA,146,0,0.0
204462,Chris Tonietto,UNIÃO,RJ,46,0,0.0
204462,Chris Tonietto,,RJ,51,0,0.0
141398,Carlos Zarattini,PT,SP,1384,1,0.07
74439,Wolney Queiroz,PDT,PE,306,0,0.0
216544,Paulo Vicente Caleffi,PSD,RS,110,0,0.0
204395,Pedro Lupion,PP,PR,885,1,0.11
204395,Pedro Lupion,,PR,27,0,0.0
204395,Pedro Lupion,UNIÃO,PR,39,0,0.0
220569,Silvye Alves,UNIÃO,GO,826,1,0.12
220556,Ana Paula Lima,PT,SC,961,1,0.1
98148,Cobalchini,MDB,SC,1021,1,0.1
220618,Sargento Portugal,PODE,RJ,964,1,0.1
220598,Tarcísio Motta,PSOL,RJ,1110,1,0.09
220638,Antonio Carlos Rodrigues,PL,SP,1006,1,0.1
74171,Chico Alencar,PSOL,RJ,1151,1,0.09
224333,Welter,PT,PR,933,1,0.11
204455,Luiz Lima,NOVO,RJ,472,1,0.21
77003,Sergio Santos Rodrigues,PODE,MG,91,0,0.0
220564,Yandra Moura,UNIÃO,SE,675,1,0.15
220644,Rosangela Moro,UNIÃO,SP,986,0,0.0
234310,Ricardo Galvão,REDE,SP,148,0,0.0
220665,Clarissa Tércio,PP,PE,879,1,0.11
141487,Luiz Fernando Faria,PSD,MG,832,1,0.12
220595,Coronel Fernanda,PL,MT,1079,1,0.09
220684,Tião Medeiros,PP,PR,814,1,0.12
220532,Rafael Prudente,MDB,DF,776,1,0.13
220585,Mersinho Lucena,PP,PB,723,0,0.0
220708,Gabriel Nunes,PSD,BA,1024,1,0.1
204419,Glaustin Da Fokus,PODE,GO,563,0,0.0
220605,Bandeira De Mello,PSB,RJ,990,1,0.1
220597,Thiago Flores,REPUBLICANOS,RO,562,1,0.18
220563,Icaro De Valmir,PL,SE,828,0,0.0
220635,Bruno Ganem,PODE,SP,1004,1,0.1
233218,Nelinho Freitas,MDB,CE,102,0,0.0
220612,Bebeto,PP,RJ,1075,1,0.09
91228,Waldemar Oliveira,AVANTE,PE,1171,1,0.09
74374,Geraldo Resende,PSDB,MS,946,1,0.11
220647,Mauricio Neves,PP,SP,617,1,0.16
220586,Rafael Brito,MDB,AL,903,1,0.11
204395,Pedro Lupion,REPUBLICANOS,PR,109,0,0.0
222142,Coronel Telhada,PP,SP,377,0,0.0
226553,Eliane Braz,PSD,CE,87,0,0.0
103758,Luciano Azevedo,PSD,RS,376,0,0.0
220593,Abilio Brunini,PL,MT,414,0,0.0
227370,Felipe Saliba,PATRIOTA,MG,49,0,0.0
220705,Deltan Dallagnol,PODE,PR,80,0,0.0
221378,Reginete Bispo,PT,RS,491,0,0.0
220597,Thiago Flores,MDB,RO,331,0,0.0
220634,Marcelo Lima,S.PART.,SP,27,0,0.0
227324,Henrique Júnior,PL,MA,92,0,0.0
220634,Marcelo Lima,PSB,SP,179,0,0.0
115200,Raniery Paulino,REPUBLICANOS,PB,72,0,0.0
228797,Júlio Oliveira,PP,TO,87,0,0.0
229939,Newton Bonin,UNIÃO,PR,128,0,0.0
227370,Felipe Saliba,PRD,MG,46,0,0.0
227991,Dr Flávio,PL,RJ,164,0,0.0
204398,Felipe Francischini,PODE,PR,14,0,0.0
178943,Marcos Soares,PSDB,RJ,9,0,0.0
204479,Nicoletti,PL,RR,40,0,0.0
220644,Rosangela Moro,PL,SP,17,0,0.0
204412,Dr. Zacharias Calil,MDB,GO,1,0,0.0
141487,Luiz Fernando Faria,UNIÃO,MG,11,0,0.0
220585,Mersinho Lucena,PSD,PB,12,0,0.0
178964,Heitor Schuch,PSD,RS,11,0,0.0
220563,Icaro De Valmir,REPUBLICANOS,SE,14,0,0.0
220605,Bandeira De Mello,PV,RJ,18,0,0.0
220597,Thiago Flores,UNIÃO,RO,9,0,0.0
74374,Geraldo Resende,UNIÃO,MS,1,0,0.0
74749,Mauro Lopes,PP,MG,257,0,0.0
160655,Ricardo Izar,PP,SP,66,0,0.0
204573,Otto Alencar Filho,PSD,BA,1236,1,0.08
74749,Mauro Lopes,MDB,MG,109,0,0.0
160655,Ricardo Izar,REPUBLICANOS,SP,218,0,0.0
204432,Marina Santos,REPUBLICANOS,PI,349,0,0.0
204454,Daniel Silveira,PTB,RJ,371,0,0.0
204454,Daniel Silveira,UNIÃO,RJ,83,0,0.0
204519,Tiago Mitraud,NOVO,MG,513,0,0.0
204564,Igor Kannário,UNIÃO,BA,194,0,0.0
204432,Marina Santos,PL,PI,87,0,0.0
204454,Daniel Silveira,,RJ,55,0,0.0
204564,Igor Kannário,,BA,39,0,0.0
141427,Fábio Ramalho,MDB,MG,352,0,0.0
204427,Fernando Rodolfo,PL,PE,1175,0,0.0
204485,Luiz Carlos Motta,PL,SP,1320,0,0.0
204518,Dr. Frederico,PATRIOTA,MG,546,0,0.0
73486,Pompeo De Mattos,PDT,RS,1413,1,0.07
178985,Miguel Lombardi,PL,SP,1449,1,0.07
75431,Maurício Dziedricki,PODE,RS,339,0,0.0
160642,Pastor Eurico,PL,PE,1220,1,0.08
194260,Nivaldo Albuquerque,REPUBLICANOS,AL,216,0,0.0
160642,Pastor Eurico,PATRIOTA,PE,105,0,0.0
204525,Rosana Valle,PL,SP,1263,0,0.0
204525,Rosana Valle,PSB,SP,135,0,0.0
194260,Nivaldo Albuquerque,PTB,AL,57,0,0.0
75431,Maurício Dziedricki,PTB,RS,130,0,0.0
204422,Ossesio Silva,REPUBLICANOS,PE,1336,1,0.07
204523,Lucas Gonzalez,NOVO,MG,456,0,0.0
141516,Paulo Abi-ackel,PSDB,MG,990,1,0.1
178969,Fábio Mitidieri,PSD,SE,219,0,0.0
204382,Loester Trutis,UNIÃO,MS,46,0,0.0
178996,Giovani Feltes,MDB,RS,416,0,0.0
204512,Delegado Marcelo Freitas,UNIÃO,MG,1576,1,0.06
73772,Hermes Parcianello,MDB,PR,243,0,0.0
204382,Loester Trutis,PL,MS,238,0,0.0
160591,Vinicius Gurgel,PL,AP,916,0,0.0
204382,Loester Trutis,,MS,55,0,0.0
204512,Delegado Marcelo Freitas,,MG,56,0,0.0
141401,Carlos Bezerra,MDB,MT,167,0,0.0
204449,Nelson Barbudo,PL,MT,645,0,0.0
160604,Pedro Uczai,PT,SC,1339,1,0.07
160667,Guilherme Mussi,PP,SP,244,0,0.0
204449,Nelson Barbudo,,MT,51,0,0.0
178857,Jorge Solla,PT,BA,1281,1,0.08
204449,Nelson Barbudo,UNIÃO,MT,28,0,0.0
178829,Capitão Augusto,PL,SP,1409,0,0.0
74253,Julio Lopes,PP,RJ,824,1,0.12
143632,Domingos Neto,PSD,CE,869,1,0.12
204396,Vermelho,PSD,PR,102,0,0.0
204396,Vermelho,PL,PR,608,0,0.0
178832,Leandre,PSD,PR,286,0,0.0
204487,Capitão Wagner,PROS,CE,67,0,0.0
178832,Leandre,PV,PR,69,0,0.0
204487,Capitão Wagner,UNIÃO,CE,113,0,0.0
204365,Gilson Marques,NOVO,SC,1679,1,0.06
178992,Vitor Lippi,PSDB,SP,1264,1,0.08
204538,Paulo Bengtson,PTB,PA,269,0,0.0
150418,Márcio Marinho,REPUBLICANOS,BA,1206,1,0.08
178948,Beto Rosado,PP,RN,372,0,0.0
141508,Mauro Nazif,PSB,RO,448,0,0.0
178896,Newton Cardoso Jr,MDB,MG,836,0,0.0
204464,Talíria Petrone,PSOL,RJ,1031,1,0.1
160528,Danilo Cabral,PSB,PE,375,0,0.0
204520,Junio Amaral,PL,MG,1228,1,0.08
204520,Junio Amaral,UNIÃO,MG,45,0,0.0
204520,Junio Amaral,,MG,55,0,0.0
204411,Filipe Barros,PL,PR,889,1,0.11
141513,Bilac Pinto,UNIÃO,MG,311,0,0.0
141518,Paulinho Da Força,SOLIDARIEDADE,SP,571,1,0.18
204411,Filipe Barros,UNIÃO,PR,64,0,0.0
141335,Beto Faro,PT,PA,433,0,0.0
92776,Stefano Aguiar,PSD,MG,1033,1,0.1
178986,Nilto Tatto,PT,SP,1492,1,0.07
178939,Clarissa Garotinho,PROS,RJ,131,0,0.0
178939,Clarissa Garotinho,UNIÃO,RJ,228,0,0.0
204411,Filipe Barros,,PR,45,0,0.0
141513,Bilac Pinto,,MG,44,0,0.0
204536,Kim Kataguiri,UNIÃO,SP,1285,1,0.08
204556,Marcelo Ramos,PSD,AM,179,0,0.0
160553,Antonio Brito,PSD,BA,655,1,0.15
178839,Jéssica Sales,MDB,AC,158,0,0.0
204571,Alex Santana,PDT,BA,72,0,0.0
204571,Alex Santana,REPUBLICANOS,BA,940,1,0.11
92699,Fernando Monteiro,PP,PE,905,0,0.0
206231,Ted Conti,PSB,ES,120,0,0.0
204536,Kim Kataguiri,,SP,44,0,0.0
204556,Marcelo Ramos,PL,AM,40,0,0.0
204489,Robério Monteiro,PDT,CE,1105,1,0.09
204442,Gurgel,PL,RJ,321,0,0.0
132504,Enio Verri,PT,PR,464,0,0.0
204442,Gurgel,,RJ,54,0,0.0
204442,Gurgel,UNIÃO,RJ,98,0,0.0
204529,Policial Katia Sastre,PL,SP,447,0,0.0
164359,Delegado Waldir,UNIÃO,GO,353,0,0.0
204355,Da Vitoria,PP,ES,1320,1,0.08
204355,Da Vitoria,CIDADANIA,ES,100,0,0.0
164359,Delegado Waldir,,GO,54,0,0.0
206018,Célia Xakriabá,PSOL,MG,847,1,0.12
220588,Roberto Duarte,REPUBLICANOS,AC,1286,1,0.08
220704,Carol Dartora,PT,PR,719,0,0.0
220594,Coronel Assis,UNIÃO,MT,1017,1,0.1
220694,Ricardo Maia,MDB,BA,877,1,0.11
104552,Socorro Neri,PP,AC,894,1,0.11
220561,Delegada Katarina,PSD,SE,1034,1,0.1
204518,Dr. Frederico,PRD,MG,570,0,0.0
233592,Paulo Lemos,PSOL,AP,145,1,0.69
220570,Dr. Ismael Alexandrino,PSD,GO,789,1,0.13
220651,Simone Marquetto,MDB,SP,720,1,0.14
220674,Dra. Alessandra Haber,MDB,PA,637,1,0.16
73579,Alberto Fraga,PL,DF,1032,0,0.0
204396,Vermelho,PP,PR,264,1,0.38
163321,Ronaldo Nogueira,REPUBLICANOS,RS,687,1,0.15
