id_deputado,dept_tx_nome_parlamentar,part_sg_partido,uf_sg_uf,qt_votacoes,qt_presencas_votacao,qt_votos_sim,qt_votos_nao,qt_abstencoes,qt_obstrucoes,pc_participacao_decisiva,tx_faixa_fidelidade_partidaria
178863,Uldurico Junior,MDB,BA,294,294,169,125,0,0,100.0,Alta participação em votações
68720,Fábio Henrique,UNIÃO,SE,566,566,317,248,0,1,99.82,Alta participação em votações
204479,Nicoletti,PL,RR,1432,1431,773,658,0,0,100.0,Alta participação em votações
209189,Joseildo Ramos,PT,BA,1290,1289,749,510,3,27,97.67,Alta participação em votações
204390,Professor Alcides,PSDB,GO,1274,1273,695,524,4,50,95.76,Alta participação em votações
204358,Beto Pereira,REPUBLICANOS,MS,1170,1169,720,446,2,1,99.74,Alta participação em votações
81055,Márcio Jerry,PCDOB,MA,1252,1251,744,494,0,13,98.96,Alta participação em votações
204538,Paulo Bengtson,PTB,PA,269,269,158,111,0,0,100.0,Alta participação em votações
178996,Giovani Feltes,MDB,RS,416,416,245,169,0,2,99.52,Alta participação em votações
171617,Paulão,PT,AL,1392,1391,797,562,6,26,97.7,Alta participação em votações
141459,João Maia,PP,RN,1307,1306,791,511,4,0,99.69,Alta participação em votações
204547,Léo Motta,REPUBLICANOS,MG,266,266,132,90,44,0,83.46,Alta participação em votações
204533,Idilvan Alencar,PSB,CE,1022,1022,611,404,0,7,99.32,Alta participação em votações
204508,Igor Timo,UNIÃO,MG,1185,1184,771,413,0,0,100.0,Alta participação em votações
198783,Emanuel Pinheiro Neto,PSD,MT,1063,1063,636,425,2,0,99.81,Alta participação em votações
204413,Alcides Rodrigues,PATRIOTA,GO,400,400,234,166,0,0,100.0,Alta participação em votações
218741,Patrick Dorneles,PSD,PB,107,107,59,47,1,0,99.07,Alta participação em votações
204392,Francisco Jr.,PSD,GO,446,446,264,182,0,0,100.0,Alta participação em votações
178972,Alex Manente,CIDADANIA,SP,705,704,465,239,0,0,100.0,Alta participação em votações
205476,Charles Fernandes,PSD,BA,1316,1316,794,516,2,0,99.54,Alta participação em votações
74537,Claudio Cajado,PP,BA,1319,1318,780,536,2,0,99.85,Alta participação em votações
204438,Sergio Toledo,PV,AL,191,191,108,82,0,1,99.48,Alta participação em votações
160510,Luis Tibé,AVANTE,MG,686,685,453,232,0,0,100.0,Alta participação em votações
204394,Gervásio Maia,PCDOB,PB,1567,1566,906,643,0,17,98.91,Alta participação em votações
204418,Luizão Goulart,SOLIDARIEDADE,PR,424,424,242,181,1,0,99.76,Alta participação em votações
204372,Julio Cesar Ribeiro,REPUBLICANOS,DF,1179,1178,700,478,0,0,100.0,Alta participação em votações
178939,Clarissa Garotinho,UNIÃO,RJ,359,359,203,156,0,0,100.0,Alta participação em votações
74317,Júlio Cesar,PSD,PI,1134,1133,700,432,1,0,99.91,Alta participação em votações
