part_sg_partido,qt_deputados,qt_votacoes,qt_presencas_votacao,qt_votos_sim,qt_votos_nao,qt_abstencoes,qt_obstrucoes,pc_participacao_decisiva
S.PART.,7,121,121,79,31,2,9,90.91
MDB,89,1995,46532,28339,17979,157,32,99.54
SOLIDARIEDADE,24,1787,6965,4259,2672,33,0,99.51
PSOL,19,2001,15526,8038,7157,101,230,97.87
NOVO,10,1801,8034,3620,4023,1,373,95.13
,81,56,3793,2204,1561,25,0,99.26
CIDADANIA,11,1638,5510,3230,2246,10,17,99.38
UNIÃO,164,2025,69036,40515,28336,153,1,99.73
PROS,16,525,2353,1359,994,0,0,100.0
PTB,13,541,1833,1034,799,0,0,100.0
PL,168,2090,110193,58690,46352,278,4672,95.33
PSC,17,644,3794,2170,1618,3,0,99.84
PRD,9,861,2695,1591,1095,9,0,99.67
PSD,102,2011,53065,31741,21129,110,1,99.63
PP,111,2036,61169,35848,24604,90,4,98.83
PCDOB,13,1829,11102,6520,4418,14,150,98.52
PDT,40,1913,24532,14790,9509,50,156,99.05
PATRIOTA,11,806,2667,1581,1085,1,0,99.96
PSB,48,1947,23887,14016,9514,33,318,98.51
PT,89,2054,86489,50363,34552,128,1371,98.18
PODE,48,1888,17110,10433,6625,50,0,99.7
PV,14,1793,5771,3396,2347,0,28,99.51
PSDB,53,1821,20660,12201,8387,50,4,99.65
REDE,9,1400,1980,1092,852,8,28,98.18
REPUBLICANOS,108,2051,55018,33241,21373,44,0,99.27
AVANTE,14,1805,8823,5335,3462,26,0,99.71
MISSÃO,1,44,44,17,26,0,1,97.73
