part_sg_partido,vot_tx_voto,qt_votos,pc_distribuicao_voto
AVANTE,Não,3462,39.21
AVANTE,Abstenção,26,0.29
AVANTE,Sim,5335,60.42
AVANTE,,7,0.08
CIDADANIA,Sim,3230,58.58
CIDADANIA,Não,2246,40.73
CIDADANIA,Obstrução,17,0.31
CIDADANIA,Artigo 17,7,0.13
CIDADANIA,Abstenção,10,0.18
CIDADANIA,,4,0.07
DEM,Sim,637,59.26
DEM,Não,437,40.65
DEM,Abstenção,1,0.09
MDB,Sim,28339,60.86
MDB,Obstrução,32,0.07
MDB,Não,17979,38.61
MDB,Abstenção,157,0.34
MDB,,34,0.07
MDB,Artigo 17,25,0.05
MISSÃO,Sim,17,38.64
MISSÃO,Obstrução,1,2.27
MISSÃO,Não,26,59.09
NOVO,Obstrução,373,4.64
NOVO,Artigo 17,17,0.21
NOVO,Sim,3620,45.03
NOVO,Não,4023,50.04
NOVO,,5,0.06
NOVO,Abstenção,1,0.01
PATRIOTA,Não,1085,40.68
PATRIOTA,Sim,1581,59.28
PATRIOTA,Abstenção,1,0.04
PCDOB,Não,4418,39.77
PCDOB,Sim,6520,58.69
PCDOB,Obstrução,150,1.35
PCDOB,Abstenção,14,0.13
PCDOB,,8,0.07
PDT,Abstenção,50,0.2
PDT,Não,9509,38.74
PDT,Artigo 17,27,0.11
PDT,Sim,14790,60.25
PDT,Obstrução,156,0.64
PDT,,15,0.06
PL,Não,46352,42.04
PL,Artigo 17,201,0.18
PL,Sim,58690,53.23
PL,Abstenção,278,0.25
PL,,56,0.05
PL,Obstrução,4672,4.24
PODE,Não,6625,38.68
PODE,Abstenção,50,0.29
PODE,Sim,10433,60.92
PODE,,16,0.09
PODE,Artigo 17,2,0.01
PP,Abstenção,90,0.15
PP,Não,24604,40.19
PP,Artigo 17,623,1.02
PP,Sim,35848,58.56
PP,,45,0.07
PP,Obstrução,4,0.01
PRD,Abstenção,9,0.33
PRD,Sim,1591,58.97
PRD,,3,0.11
PRD,Não,1095,40.59
PROS,Não,994,42.24
PROS,Sim,1359,57.76
PSB,Obstrução,318,1.33
PSB,Sim,14016,58.64
PSB,Não,9514,39.81
PSB,Abstenção,33,0.14
PSB,,13,0.05
PSB,Artigo 17,6,0.03
PSC,Sim,2170,57.2
PSC,Artigo 17,3,0.08
PSC,Abstenção,3,0.08
PSC,Não,1618,42.65
PSD,Abstenção,110,0.21
PSD,Sim,31741,59.77
PSD,Artigo 17,84,0.16
PSD,Não,21129,39.79
PSD,,37,0.07
PSD,Obstrução,1,0.0
PSDB,Artigo 17,18,0.09
PSDB,Obstrução,4,0.02
PSDB,Abstenção,50,0.24
PSDB,Não,8387,40.57
PSDB,Sim,12201,59.02
PSDB,,13,0.06
PSL,Abstenção,24,0.88
PSL,Sim,1567,57.65
PSL,Artigo 17,3,0.11
PSL,Não,1124,41.35
PSOL,Sim,8038,51.74
PSOL,Obstrução,230,1.48
PSOL,Não,7157,46.07
PSOL,,8,0.05
PSOL,Abstenção,101,0.65
PT,Não,34552,39.92
PT,Artigo 17,75,0.09
PT,Abstenção,128,0.15
PT,Obstrução,1371,1.58
PT,Sim,50363,58.19
PT,,59,0.07
PTB,Não,799,43.59
PTB,Sim,1034,56.41
PV,Obstrução,28,0.48
PV,Sim,3396,58.81
PV,Não,2347,40.64
PV,,4,0.07
REDE,Sim,1092,55.12
REDE,Não,852,43.01
REDE,Obstrução,28,1.41
REDE,Abstenção,8,0.4
REDE,,1,0.05
REPUBLICANOS,Não,21373,38.82
REPUBLICANOS,Abstenção,44,0.08
REPUBLICANOS,Artigo 17,360,0.65
REPUBLICANOS,Sim,33241,60.38
REPUBLICANOS,,39,0.07
S.PART.,Não,31,25.62
S.PART.,Sim,79,65.29
S.PART.,Obstrução,9,7.44
S.PART.,Abstenção,2,1.65
SOLIDARIEDADE,Não,2672,38.34
SOLIDARIEDADE,Sim,4259,61.1
SOLIDARIEDADE,Abstenção,33,0.47
SOLIDARIEDADE,Artigo 17,1,0.01
SOLIDARIEDADE,,5,0.07
UNIÃO,Sim,40515,58.65
UNIÃO,Não,28336,41.02
UNIÃO,Artigo 17,31,0.04
UNIÃO,Abstenção,153,0.22
UNIÃO,,49,0.07
UNIÃO,Obstrução,1,0.0
