vot_id_votacao,prop_id_proposicao,prop_sg_tipo,prop_nr_numero,prop_nr_ano,prop_tx_ementa,id_deputado,dept_tx_nome_parlamentar,part_sg_partido,uf_sg_uf,leg_id_legislatura,vot_dt_votacao,data_tx_ano_mes,vot_tx_voto,vot_tx_voto_curado,vot_fl_sim,vot_fl_nao,vot_fl_abstencao,vot_fl_obstrucao,vot_fl_presenca,qt_voto,qt_presenca,gold_ts_processamento,gold_id_batch
2388029-94,2394262,REQ,3443,2023,"Requer Com Base Nos Art. 17, Ii, C C/c Art. 142 Do Regimento Interno Desta Casa A Desapensação Da Pec 44/2023.",74171,Chico Alencar,PSOL,RJ,57,2024-07-11,2024-07,Sim,Sim,1,0,0,0,1,1,1,2026-05-13T20:05:40.939Z,25cb5de3-d2c7-4633-b97a-7f0e7e43f7f4
2194861-77,,,,,,220575,Sonize Barbosa,PL,AP,57,2024-12-12,2024-12,Sim,Sim,1,0,0,0,1,1,1,2026-05-13T20:05:40.939Z,25cb5de3-d2c7-4633-b97a-7f0e7e43f7f4
2352476-168,2448994,PPP,1,0,"Leitura Realizada Em Plenário Pelo Dep. Cabo Gilberto Silva (pl-pb), Do Parecer Do Relator, Pela Comissão Especial, Que Conclui Pela Aprovação Da Proposta De Emenda À Constituição Nº 9, De 2023, Na Forma Do Substitutivo Apresentado.",160527,Aguinaldo Ribeiro,PP,PB,57,2024-07-11,2024-07,Sim,Sim,1,0,0,0,1,1,1,2026-05-13T20:05:40.939Z,25cb5de3-d2c7-4633-b97a-7f0e7e43f7f4
2433327-66,2433698,PEP,1,0,"Parecer Às Emendas De Plenário Proferido Pelo Relator, Dep. Afonso Motta (pdt-rs), Pela Comissão De Constituição E Justiça E De Cidadania, Que Conclui Pela Constitucionalidade, Juridicidade E Boa Técnica Legislativa.",204426,Carlos Veras,PT,PE,57,2024-05-15,2024-05,Sim,Sim,1,0,0,0,1,1,1,2026-05-13T20:05:40.939Z,25cb5de3-d2c7-4633-b97a-7f0e7e43f7f4
2475018-8,,,,,,204472,José Medeiros,PL,MT,57,2024-12-04,2024-12,Obstrução,Obstrução,0,0,0,1,1,1,1,2026-05-13T20:05:40.939Z,25cb5de3-d2c7-4633-b97a-7f0e7e43f7f4
2422648-56,2471375,REQ,183,2024,"Requer A Realização De Audiência Pública Para Debater O Projeto De Lei 909/2024, Que Institui O Corredor Ecológico Onça Pintada No Território Brasileiro.",220626,Rafael Simoes,UNIÃO,MG,57,2024-12-11,2024-12,Sim,Sim,1,0,0,0,1,1,1,2026-05-13T20:05:40.939Z,25cb5de3-d2c7-4633-b97a-7f0e7e43f7f4
2447183-64,2448982,PEP,1,0,"Parecer Às Emendas De Plenário Proferido Pelo Relator, Dep. José Guimarães (pt-ce), Pela Comissão De Constituição E Justiça E De Cidadania, Que Conclui Pela Constitucionalidade, Juridicidade E Técnica Legislativa.",220624,Robinson Faria,PL,RN,57,2024-07-11,2024-07,Sim,Sim,1,0,0,0,1,1,1,2026-05-13T20:05:40.939Z,25cb5de3-d2c7-4633-b97a-7f0e7e43f7f4
2476749-7,,,,,,74550,João Leão,PP,BA,57,2024-12-10,2024-12,Sim,Sim,1,0,0,0,1,1,1,2026-05-13T20:05:40.939Z,25cb5de3-d2c7-4633-b97a-7f0e7e43f7f4
2419197-28,,,,,,204515,André Janones,AVANTE,MG,57,2024-04-09,2024-04,Não,Não,0,1,0,0,1,1,1,2026-05-13T20:05:40.939Z,25cb5de3-d2c7-4633-b97a-7f0e7e43f7f4
2461217-7,,,,,,220708,Gabriel Nunes,PSD,BA,57,2024-12-17,2024-12,Sim,Sim,1,0,0,0,1,1,1,2026-05-13T20:05:40.939Z,25cb5de3-d2c7-4633-b97a-7f0e7e43f7f4
